Entity,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,Prediction_Year
P13,0.982943,0.817605,1.000000,0.858179,0.643364,0.990485,0.823791,0.974012,0.950039,0.949080,0.823676,0.840994,0.941362,0.790438,0.747684,0.780368,0.848694,0.858279,0.815053,0.598233,0.823897,0.819885,0.806040,0.860997,0.813701,0.824014,0.858412,0.827906,0.809368,2025
P14,0.864320,0.930888,0.772656,0.757195,0.833581,1.000000,0.884014,0.867323,0.902129,0.806971,0.898128,0.932157,0.875797,0.924612,0.894507,0.769482,0.807213,0.784907,0.861096,0.840839,0.821538,0.845851,0.847076,0.853173,0.829342,0.839679,0.825417,0.819332,0.812813,2025
P15,0.889501,0.839738,0.811311,0.639928,0.886888,0.733472,0.926481,0.868102,0.921717,0.955761,0.712605,0.720266,0.935749,0.841384,0.753084,0.766713,0.741367,0.731813,0.766020,0.663723,0.777541,0.812320,0.782679,0.801431,0.787210,0.796532,0.808755,0.813279,0.784410,2025
P16,0.449964,0.908194,0.648325,0.806569,0.788171,0.951851,0.976511,0.805146,0.978784,0.829750,0.836093,0.783803,0.754825,0.974583,0.896240,0.788001,0.784449,0.621971,0.558753,0.705535,0.777844,0.794984,0.763245,0.774852,0.765496,0.775994,0.773191,0.772014,0.779885,2025
P17,0.496587,0.754523,0.614490,0.550270,0.722937,0.796887,0.750297,0.741559,0.618578,0.635771,0.614981,0.765031,0.526404,0.516775,0.567960,0.524779,0.720923,0.631865,0.538925,0.496214,0.647165,0.616429,0.613491,0.651134,0.629514,0.577959,0.599726,0.628895,0.612114,2025
P18,0.632977,0.568190,0.412752,0.634679,0.561644,0.633052,0.783386,0.540696,0.595283,0.719826,0.651936,0.651114,0.701615,0.532434,0.508287,0.575075,0.478568,0.595835,0.706025,0.715152,0.582641,0.595332,0.569924,0.572959,0.589855,0.604010,0.596874,0.591111,0.596294,2025
P19,0.433082,0.580279,0.721748,0.676208,0.684827,0.562963,0.727901,0.819264,0.564778,0.502565,0.536248,0.530190,0.572592,0.681318,0.543682,0.545661,0.612526,0.423793,0.603776,0.508318,0.580537,0.584147,0.585700,0.583887,0.586189,0.561882,0.562952,0.574276,0.557422,2025
P20,0.474946,0.620795,0.771124,0.761223,0.650508,0.762986,0.673650,0.643389,0.776720,0.694314,0.745798,0.616377,0.613157,0.664278,0.596083,0.656068,0.666079,0.560003,0.587787,0.658115,0.649251,0.649890,0.642565,0.628426,0.645698,0.637127,0.635372,0.625385,0.629718,2025
P21,0.557057,0.700879,0.616983,0.648654,0.526591,0.704821,0.711256,0.533920,0.779565,0.631913,0.587630,0.766537,0.752864,0.719607,0.679730,0.564475,0.529999,0.518531,0.684575,0.681160,0.620622,0.652436,0.645073,0.626527,0.606647,0.658490,0.654540,0.627535,0.615637,2025
P22,0.686310,0.758588,0.486885,0.644270,0.477197,0.711273,0.678441,0.864856,0.603086,0.619247,0.560856,0.723101,0.667809,0.566450,0.460249,0.607262,0.446633,0.639375,0.568269,0.426257,0.590268,0.570994,0.573535,0.594426,0.582967,0.576886,0.593314,0.622943,0.599835,2025
P23,0.501988,0.557047,0.632408,0.595686,0.760167,0.773033,0.812671,0.823419,0.705531,0.633594,0.700604,0.621972,0.676688,0.766580,0.555056,0.553124,0.459136,0.570647,0.440336,0.530146,0.592732,0.646406,0.589851,0.620260,0.595778,0.588142,0.601573,0.582427,0.604505,2025
P24,0.259974,0.762879,0.624934,0.693661,0.616713,0.686312,0.596246,0.725179,0.571447,0.704365,0.544663,0.756541,0.555526,0.701941,0.642844,0.696136,0.472766,0.593066,0.700964,0.543139,0.586394,0.604134,0.598495,0.583200,0.614924,0.583593,0.607280,0.589193,0.593356,2025
P25,0.670524,0.570289,0.540982,0.771232,0.624567,0.874285,0.505315,0.609860,0.755993,0.782286,0.634119,0.724847,0.585349,0.574873,0.544787,0.434492,0.587256,0.514876,0.718486,0.731536,0.606238,0.605522,0.602224,0.615202,0.619369,0.627952,0.639924,0.629008,0.611203,2025
P26,0.671721,0.655239,0.606284,0.703178,0.643634,0.677104,0.806010,0.699840,0.777223,0.728578,0.719338,0.609487,0.682095,0.747578,0.533162,0.502288,0.531671,0.683999,0.671345,0.472917,0.622130,0.642383,0.617427,0.629622,0.632525,0.635694,0.653406,0.643659,0.622814,2025
P27,0.841677,0.543213,0.721860,0.751657,0.783086,0.632337,0.731861,0.638086,0.624261,0.789002,0.755650,0.815666,0.801947,0.688813,0.758567,0.672916,0.703737,0.521949,0.534260,0.479243,0.676953,0.678825,0.652619,0.676788,0.680303,0.654929,0.676037,0.652996,0.644432,2025
P28,0.780417,0.674044,0.464788,0.778038,0.539039,0.702055,0.596063,0.658400,0.707472,0.737766,0.687912,0.759309,0.599418,0.629326,0.697218,0.543446,0.417436,0.374973,0.622478,0.562926,0.600115,0.615019,0.605719,0.601120,0.602801,0.592260,0.608683,0.612662,0.584074,2025
P29,0.699976,0.443323,0.509319,0.472168,0.555353,0.637937,0.672597,0.694638,0.748426,0.620765,0.684259,0.696615,0.592349,0.682296,0.723158,0.667438,0.457368,0.662745,0.646353,0.511884,0.604215,0.601881,0.589225,0.608061,0.595232,0.584839,0.598611,0.600173,0.608110,2025
P30,0.620035,0.838529,0.620559,0.532858,0.729571,0.660882,0.606805,0.711330,0.602402,0.519648,0.593329,0.649158,0.584226,0.582652,0.702871,0.595328,0.627601,0.403249,0.498183,0.459620,0.580523,0.591535,0.587512,0.583228,0.576959,0.558797,0.551495,0.557136,0.581366,2025
P31,0.600564,0.452937,0.556898,0.575631,0.491470,0.707911,0.618558,0.709942,0.720489,0.730722,0.506712,0.725582,0.691150,0.495767,0.658840,0.706563,0.410292,0.476453,0.661529,0.641097,0.569705,0.608863,0.584376,0.602760,0.606251,0.597851,0.597340,0.583207,0.584790,2025
P32,0.608804,0.484770,0.581201,0.606085,0.645208,0.564058,0.661995,0.675149,0.538711,0.644330,0.688570,0.684312,0.689970,0.631709,0.460031,0.518419,0.536409,0.560985,0.464448,0.586292,0.582449,0.575910,0.557922,0.575246,0.574283,0.563576,0.555769,0.564131,0.547853,2025
P33,0.403180,0.405590,0.646807,0.521024,0.407382,0.844979,0.700410,0.642355,0.757716,0.745798,0.522629,0.590378,0.661686,0.675103,0.530966,0.450855,0.557204,0.528722,0.623986,0.548761,0.551938,0.566883,0.561694,0.578375,0.575072,0.574345,0.595118,0.592214,0.567183,2025
P34,0.380685,0.650733,0.550591,0.652994,0.593759,0.571400,0.588806,0.575433,0.553933,0.686666,0.559550,0.736574,0.540645,0.643462,0.584277,0.657543,0.464072,0.497120,0.673073,0.624295,0.573894,0.573232,0.571506,0.567525,0.593747,0.555289,0.582526,0.574236,0.573798,2025
P35,0.625612,0.703200,0.574991,0.621744,0.509540,0.654182,0.695981,0.576278,0.703265,0.598009,0.570540,0.614192,0.643254,0.577456,0.590864,0.582603,0.497101,0.472806,0.472416,0.655018,0.585774,0.584384,0.558683,0.566733,0.588292,0.566696,0.562423,0.584547,0.580291,2025
P36,0.789629,0.376180,0.430438,0.593083,0.665705,0.780594,0.741944,0.740953,0.648350,0.750581,0.721217,0.656019,0.627358,0.536885,0.556235,0.675260,0.637426,0.692375,0.469900,0.650731,0.623616,0.613289,0.605086,0.623499,0.613722,0.623118,0.613539,0.650358,0.626153,2025
P37,0.825658,0.561192,0.559958,0.716392,0.704214,0.688018,0.511986,0.719847,0.726915,0.579972,0.601078,0.750766,0.648837,0.684231,0.597640,0.620227,0.591100,0.641990,0.586071,0.532822,0.590700,0.629131,0.582319,0.624769,0.613010,0.604509,0.650843,0.620240,0.592652,2025
P38,0.607013,0.537252,0.664573,0.530614,0.481676,0.887513,0.633628,0.691643,0.826330,0.791617,0.556500,0.787054,0.696282,0.579942,0.511382,0.623394,0.625667,0.571757,0.654089,0.609426,0.604783,0.618878,0.594136,0.617199,0.626869,0.620677,0.632409,0.619783,0.617300,2025
P39,0.404202,0.527730,0.455652,0.573185,0.511369,0.824209,0.763876,0.806864,0.639131,0.787402,0.494108,0.729410,0.531093,0.548006,0.696696,0.510485,0.543374,0.551287,0.555665,0.611028,0.581972,0.571458,0.571905,0.562332,0.570655,0.576929,0.585298,0.585550,0.589166,2025
P40,0.755294,0.651948,0.418661,0.504759,0.584149,0.706832,0.661674,0.626889,0.645501,0.737386,0.562364,0.632088,0.634705,0.650495,0.517825,0.676291,0.668299,0.588396,0.603310,0.734595,0.605780,0.616385,0.593450,0.614921,0.610540,0.600353,0.607457,0.637889,0.605066,2025
P41,0.576862,0.490914,0.692193,0.535187,0.568637,0.775177,0.835324,0.791262,0.741174,0.548579,0.749527,0.769623,0.524409,0.762025,0.736103,0.500553,0.538788,0.525039,0.403017,0.509441,0.600569,0.607396,0.612691,0.619236,0.592860,0.588702,0.601840,0.591078,0.586440,2025
P42,0.577114,0.407351,0.584437,0.451628,0.664714,0.756702,0.611948,0.540009,0.710446,0.640477,0.592647,0.669594,0.568402,0.577829,0.677080,0.602503,0.653321,0.573731,0.558766,0.557528,0.583113,0.589250,0.577081,0.565086,0.568341,0.588436,0.589216,0.555442,0.562928,2025
P43,0.475657,0.694057,0.564250,0.828280,0.532629,0.718846,0.575080,0.742527,0.768343,0.770813,0.521732,0.702446,0.556963,0.745113,0.527514,0.477144,0.449584,0.631116,0.609440,0.432394,0.603783,0.600306,0.592540,0.591332,0.599203,0.585328,0.608641,0.625041,0.572270,2025
P44,0.641504,0.582839,0.642162,0.582772,0.594452,0.696952,0.586265,0.558706,0.759599,0.826057,0.557756,0.579481,0.658515,0.607854,0.498327,0.469060,0.647119,0.638638,0.500399,0.474489,0.607305,0.605985,0.574233,0.605475,0.604476,0.595138,0.599588,0.599820,0.599416,2025
P45,0.465899,0.592489,0.362592,0.626681,0.601072,0.707107,0.804159,0.590837,0.532367,0.648717,0.754145,0.740478,0.749180,0.669509,0.648964,0.469477,0.453805,0.683488,0.453473,0.494241,0.579203,0.579996,0.559587,0.573800,0.567658,0.580122,0.586274,0.581246,0.565444,2025
P46,0.483131,0.431737,0.610601,0.586690,0.661914,0.645967,0.763107,0.610720,0.574193,0.548415,0.701001,0.536103,0.681629,0.651064,0.622627,0.546492,0.505392,0.712744,0.581041,0.564812,0.576689,0.586896,0.587596,0.580920,0.584968,0.587351,0.597831,0.594642,0.586101,2025
P47,0.594109,0.610640,0.625992,0.847335,0.492540,0.633277,0.592427,0.645527,0.606346,0.672464,0.586512,0.744216,0.784315,0.694627,0.569956,0.428002,0.421862,0.782252,0.491474,0.585524,0.550517,0.618581,0.569786,0.592225,0.597522,0.593763,0.591213,0.596199,0.589964,2025
P48,0.566691,0.636808,0.696267,0.671800,0.523836,0.623230,0.676620,0.741298,0.773646,0.732415,0.679636,0.688052,0.485588,0.782929,0.565181,0.493573,0.577079,0.515925,0.380510,0.704330,0.622661,0.626832,0.603374,0.614485,0.604723,0.606480,0.611476,0.626996,0.604848,2025
P49,0.334518,0.488963,0.434162,0.583861,0.365536,0.439405,0.590792,0.520285,0.598174,0.516035,0.547058,0.629617,0.506265,0.425592,0.326955,0.302719,0.418347,0.311966,0.428613,0.371234,0.424886,0.423957,0.439976,0.439103,0.455860,0.422524,0.448500,0.456584,0.402947,2025
P50,0.288427,0.507265,0.553294,0.313396,0.631530,0.541602,0.567409,0.502800,0.453294,0.642107,0.574916,0.523085,0.475187,0.541404,0.539578,0.321407,0.553430,0.261530,0.508843,0.392603,0.444478,0.475918,0.463979,0.463804,0.458526,0.471640,0.472805,0.453232,0.460051,2025
P51,0.526276,0.416369,0.569565,0.635936,0.504139,0.605375,0.539279,0.691079,0.451196,0.517590,0.396171,0.612377,0.526957,0.344973,0.550576,0.531094,0.343460,0.422051,0.504755,0.359240,0.482999,0.480709,0.484574,0.481468,0.486436,0.442232,0.487035,0.506855,0.484644,2025
P52,0.454285,0.337470,0.494612,0.538668,0.474442,0.472096,0.503454,0.632100,0.518509,0.581595,0.440832,0.494502,0.380179,0.415974,0.404490,0.440029,0.401180,0.412355,0.311317,0.415523,0.456793,0.455567,0.425545,0.429370,0.441611,0.409785,0.429017,0.467340,0.445921,2025
P53,0.461448,0.447399,0.426725,0.349312,0.566771,0.529657,0.495995,0.350209,0.623115,0.436398,0.535250,0.532506,0.582379,0.565161,0.606725,0.425822,0.461067,0.374936,0.412321,0.366417,0.466622,0.460824,0.452931,0.465016,0.451614,0.439796,0.463669,0.438047,0.452044,2025
P54,0.605306,0.412056,0.527796,0.561723,0.373813,0.503431,0.463346,0.381141,0.512981,0.467944,0.439865,0.404517,0.394108,0.365379,0.591441,0.436233,0.423053,0.450179,0.322681,0.554094,0.433191,0.449425,0.440097,0.439479,0.444190,0.443921,0.419210,0.431840,0.436577,2025
P55,0.682851,0.398327,0.397348,0.535221,0.638914,0.443896,0.588927,0.419569,0.603832,0.494739,0.582825,0.569142,0.547871,0.488983,0.436012,0.341982,0.357921,0.443824,0.455856,0.343698,0.453949,0.483810,0.472872,0.479673,0.475359,0.474237,0.471346,0.499680,0.449971,2025
P56,0.340415,0.600736,0.490258,0.577637,0.473360,0.484514,0.448822,0.614765,0.597649,0.464868,0.576195,0.455970,0.417306,0.496553,0.513152,0.414971,0.328988,0.495524,0.327785,0.367317,0.464864,0.457571,0.436055,0.458531,0.449471,0.412930,0.447557,0.457836,0.453837,2025
P57,0.522640,0.467641,0.507186,0.620832,0.563377,0.540902,0.404487,0.451726,0.514079,0.416911,0.505438,0.441127,0.359444,0.403829,0.581986,0.357237,0.444459,0.328965,0.410201,0.401023,0.440205,0.463362,0.458038,0.422603,0.437215,0.428662,0.442598,0.448168,0.437155,2025
P58,0.575414,0.348552,0.468952,0.572207,0.408043,0.454315,0.632597,0.635049,0.512139,0.560746,0.589028,0.583412,0.553411,0.450413,0.481509,0.523849,0.247224,0.553992,0.441096,0.314399,0.453225,0.479585,0.471054,0.470046,0.491446,0.457367,0.486726,0.467950,0.473721,2025
P59,0.726545,0.393197,0.448072,0.471738,0.373369,0.647961,0.717697,0.558898,0.398440,0.445531,0.468662,0.586978,0.520744,0.413798,0.451408,0.430387,0.470052,0.322904,0.543887,0.408313,0.475427,0.473408,0.455601,0.464700,0.486461,0.431635,0.457540,0.450748,0.431252,2025
P60,0.552222,0.473847,0.597342,0.520783,0.257500,0.708850,0.546827,0.432203,0.496761,0.540113,0.399013,0.501223,0.462063,0.591254,0.344374,0.511821,0.621209,0.496017,0.539011,0.348154,0.462685,0.441659,0.456562,0.489416,0.484174,0.464930,0.464117,0.485582,0.453871,2025
P61,0.382023,0.337617,0.256394,0.270348,0.476286,0.558425,0.598948,0.463955,0.452028,0.614973,0.382634,0.443682,0.401572,0.569139,0.459595,0.326991,0.273300,0.485550,0.467245,0.374170,0.404533,0.416843,0.392260,0.410162,0.409739,0.408253,0.413439,0.427165,0.411355,2025
P62,0.770984,0.342152,0.510827,0.543484,0.428308,0.486554,0.547821,0.439902,0.658015,0.633240,0.602024,0.418886,0.406102,0.444243,0.486200,0.433781,0.463272,0.416341,0.481684,0.362415,0.471042,0.468793,0.474232,0.465600,0.498589,0.451521,0.470478,0.470284,0.461234,2025
P63,0.606621,0.483149,0.547570,0.558686,0.457630,0.573239,0.417955,0.414195,0.691232,0.566206,0.576535,0.505686,0.407632,0.394553,0.560976,0.441529,0.358029,0.306143,0.319354,0.450836,0.461455,0.463996,0.456192,0.457589,0.462720,0.464003,0.463675,0.480308,0.465375,2025
P64,0.460729,0.517030,0.359378,0.467939,0.252452,0.332809,0.582965,0.482381,0.633063,0.538510,0.525647,0.577532,0.553459,0.413606,0.459588,0.327440,0.399228,0.487570,0.366617,0.440515,0.438026,0.468615,0.449479,0.433005,0.418203,0.420844,0.435264,0.430898,0.430910,2025
