Year,Province,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
2011,P11,0.58,0.43,0.59,0.86,0.89,0.50,0.63,0.61,0.57,0.53,0.72,0.75,0.71,0.59,0.69,0.55,0.60,0.80,0.71,0.72,0.61,0.72,0.66,0.70,0.67,0.65,0.69,0.71,0.64
2011,P12,0.67,0.77,0.55,0.71,0.67,0.58,0.73,0.54,0.82,0.63,0.69,0.63,0.66,0.65,0.60,0.78,0.62,0.61,0.61,0.60,0.70,0.67,0.66,0.66,0.69,0.73,0.68,0.64,0.59
2011,P13,0.75,0.64,0.87,0.76,0.49,0.71,0.54,0.69,0.78,0.64,0.62,0.68,0.72,0.58,0.62,0.68,0.77,0.78,0.77,0.50,0.71,0.74,0.71,0.74,0.69,0.66,0.66,0.68,0.63
2011,P14,0.73,0.81,0.67,0.65,0.75,0.79,0.65,0.59,0.63,0.61,0.75,0.75,0.67,0.72,0.70,0.63,0.81,0.70,0.76,0.73,0.67,0.70,0.73,0.77,0.70,0.71,0.78,0.67,0.69
2011,P15,0.78,0.70,0.67,0.50,0.74,0.48,0.63,0.66,0.72,0.69,0.53,0.56,0.75,0.57,0.54,0.68,0.69,0.66,0.69,0.62,0.66,0.64,0.69,0.71,0.59,0.67,0.57,0.64,0.64
2011,P16,0.33,0.80,0.49,0.70,0.61,0.80,0.77,0.57,0.69,0.59,0.65,0.56,0.58,0.77,0.75,0.71,0.70,0.53,0.47,0.59,0.57,0.59,0.64,0.60,0.67,0.65,0.64,0.70,0.68
2011,P17,0.37,0.55,0.49,0.45,0.56,0.54,0.54,0.45,0.34,0.34,0.45,0.58,0.29,0.29,0.36,0.44,0.62,0.55,0.54,0.44,0.51,0.50,0.47,0.48,0.51,0.41,0.43,0.43,0.47
2011,P18,0.55,0.50,0.31,0.57,0.39,0.45,0.59,0.38,0.38,0.43,0.43,0.50,0.56,0.28,0.37,0.52,0.44,0.54,0.61,0.64,0.49,0.45,0.55,0.43,0.48,0.44,0.40,0.48,0.44
2011,P19,0.29,0.50,0.65,0.49,0.62,0.34,0.52,0.63,0.32,0.23,0.43,0.31,0.38,0.44,0.36,0.42,0.54,0.31,0.51,0.37,0.38,0.44,0.37,0.48,0.38,0.44,0.48,0.46,0.40
2011,P20,0.40,0.48,0.59,0.63,0.56,0.53,0.50,0.39,0.52,0.52,0.56,0.41,0.45,0.51,0.43,0.56,0.54,0.45,0.51,0.59,0.57,0.46,0.53,0.51,0.53,0.59,0.48,0.51,0.57
2011,P21,0.44,0.61,0.43,0.54,0.37,0.46,0.50,0.29,0.50,0.33,0.41,0.60,0.49,0.59,0.48,0.42,0.41,0.43,0.52,0.62,0.49,0.40,0.52,0.45,0.39,0.53,0.52,0.43,0.46
2011,P22,0.58,0.67,0.36,0.48,0.32,0.51,0.42,0.64,0.38,0.34,0.34,0.52,0.42,0.33,0.31,0.49,0.36,0.57,0.46,0.27,0.37,0.46,0.39,0.48,0.47,0.45,0.38,0.39,0.40
2011,P23,0.36,0.46,0.50,0.47,0.69,0.56,0.55,0.54,0.46,0.33,0.50,0.39,0.50,0.66,0.38,0.50,0.42,0.49,0.42,0.41,0.56,0.54,0.45,0.44,0.46,0.44,0.41,0.42,0.55
2011,P24,0.18,0.71,0.50,0.54,0.49,0.48,0.36,0.45,0.31,0.39,0.39,0.54,0.35,0.55,0.49,0.58,0.40,0.44,0.60,0.43,0.53,0.51,0.45,0.47,0.49,0.45,0.50,0.41,0.46
2011,P25,0.54,0.47,0.36,0.67,0.53,0.70,0.26,0.35,0.54,0.55,0.48,0.49,0.42,0.41,0.35,0.30,0.48,0.45,0.67,0.68,0.56,0.44,0.45,0.46,0.45,0.51,0.53,0.54,0.49
2011,P26,0.54,0.58,0.50,0.57,0.62,0.39,0.56,0.51,0.52,0.47,0.51,0.42,0.45,0.58,0.41,0.43,0.42,0.51,0.58,0.37,0.54,0.53,0.54,0.46,0.52,0.52,0.57,0.46,0.56
2011,P27,0.61,0.46,0.67,0.66,0.68,0.44,0.52,0.42,0.31,0.55,0.52,0.59,0.58,0.47,0.55,0.62,0.64,0.41,0.48,0.42,0.56,0.49,0.48,0.50,0.61,0.46,0.55,0.56,0.51
2011,P28,0.72,0.50,0.31,0.63,0.41,0.43,0.37,0.41,0.45,0.45,0.51,0.47,0.41,0.45,0.52,0.55,0.34,0.24,0.51,0.46,0.45,0.44,0.46,0.39,0.48,0.42,0.44,0.39,0.40
2011,P29,0.56,0.39,0.40,0.32,0.43,0.49,0.42,0.49,0.55,0.42,0.51,0.51,0.43,0.54,0.51,0.57,0.38,0.60,0.56,0.49,0.54,0.42,0.43,0.55,0.48,0.52,0.55,0.42,0.41
2011,P30,0.46,0.76,0.55,0.43,0.54,0.45,0.28,0.42,0.37,0.26,0.41,0.44,0.39,0.36,0.54,0.54,0.57,0.41,0.42,0.41,0.38,0.50,0.38,0.38,0.39,0.44,0.46,0.45,0.39
2011,P31,0.49,0.34,0.42,0.38,0.38,0.43,0.37,0.42,0.51,0.47,0.29,0.48,0.49,0.37,0.48,0.59,0.30,0.44,0.60,0.59,0.40,0.47,0.50,0.37,0.40,0.49,0.39,0.43,0.52
2011,P32,0.51,0.36,0.50,0.43,0.51,0.41,0.39,0.42,0.33,0.42,0.51,0.54,0.48,0.46,0.29,0.42,0.45,0.48,0.41,0.46,0.49,0.43,0.40,0.41,0.48,0.50,0.50,0.49,0.41
2011,P33,0.25,0.35,0.58,0.33,0.37,0.64,0.54,0.43,0.53,0.58,0.37,0.42,0.51,0.53,0.33,0.33,0.49,0.42,0.55,0.51,0.52,0.51,0.49,0.42,0.49,0.43,0.41,0.39,0.42
2011,P34,0.20,0.50,0.43,0.57,0.43,0.34,0.39,0.34,0.27,0.41,0.38,0.47,0.43,0.47,0.45,0.64,0.41,0.42,0.70,0.55,0.40,0.50,0.50,0.41,0.50,0.47,0.49,0.46,0.50
2011,P35,0.52,0.56,0.49,0.48,0.41,0.49,0.48,0.32,0.51,0.39,0.37,0.39,0.52,0.42,0.39,0.50,0.36,0.40,0.40,0.59,0.39,0.44,0.44,0.52,0.47,0.53,0.52,0.41,0.45
2011,P36,0.69,0.23,0.31,0.47,0.54,0.52,0.49,0.51,0.38,0.51,0.55,0.45,0.38,0.33,0.35,0.68,0.61,0.55,0.40,0.59,0.51,0.40,0.48,0.49,0.52,0.49,0.45,0.55,0.47
2011,P37,0.74,0.45,0.38,0.57,0.53,0.44,0.21,0.38,0.44,0.34,0.34,0.53,0.36,0.50,0.38,0.52,0.46,0.57,0.51,0.43,0.50,0.51,0.42,0.47,0.50,0.42,0.48,0.42,0.47
2011,P38,0.46,0.43,0.54,0.45,0.43,0.65,0.33,0.49,0.59,0.57,0.30,0.62,0.46,0.39,0.36,0.58,0.48,0.48,0.52,0.50,0.47,0.55,0.54,0.44,0.50,0.48,0.51,0.53,0.50
2011,P39,0.20,0.45,0.32,0.43,0.39,0.50,0.58,0.61,0.43,0.54,0.26,0.49,0.32,0.34,0.52,0.37,0.46,0.45,0.49,0.55,0.37,0.42,0.40,0.38,0.50,0.50,0.37,0.42,0.36
2011,P40,0.62,0.59,0.22,0.40,0.41,0.53,0.45,0.44,0.43,0.55,0.42,0.42,0.42,0.50,0.33,0.58,0.59,0.49,0.49,0.62,0.49,0.46,0.47,0.43,0.48,0.42,0.55,0.52,0.44
2011,P41,0.47,0.36,0.59,0.46,0.51,0.52,0.63,0.49,0.47,0.26,0.53,0.55,0.33,0.56,0.54,0.45,0.44,0.46,0.28,0.45,0.41,0.42,0.46,0.42,0.54,0.44,0.40,0.53,0.46
2011,P42,0.46,0.27,0.45,0.32,0.53,0.52,0.39,0.30,0.49,0.46,0.38,0.48,0.33,0.41,0.50,0.53,0.55,0.46,0.43,0.46,0.42,0.44,0.52,0.40,0.44,0.42,0.39,0.47,0.51
2011,P43,0.32,0.51,0.41,0.67,0.31,0.47,0.41,0.52,0.54,0.54,0.29,0.46,0.38,0.60,0.38,0.40,0.36,0.52,0.53,0.28,0.37,0.44,0.51,0.44,0.50,0.37,0.44,0.47,0.46
2011,P44,0.54,0.48,0.54,0.45,0.49,0.47,0.32,0.32,0.48,0.63,0.36,0.35,0.41,0.44,0.28,0.40,0.58,0.62,0.44,0.37,0.45,0.41,0.48,0.48,0.52,0.50,0.37,0.50,0.51
2011,P45,0.33,0.46,0.22,0.47,0.44,0.47,0.53,0.34,0.32,0.44,0.54,0.55,0.59,0.44,0.47,0.38,0.35,0.53,0.38,0.43,0.49,0.48,0.42,0.36,0.45,0.41,0.43,0.50,0.46
2011,P46,0.34,0.23,0.47,0.47,0.56,0.43,0.51,0.39,0.43,0.30,0.56,0.32,0.49,0.44,0.42,0.45,0.45,0.62,0.51,0.57,0.40,0.46,0.52,0.48,0.46,0.50,0.49,0.45,0.48
2011,P47,0.50,0.54,0.53,0.68,0.33,0.28,0.41,0.37,0.34,0.34,0.43,0.50,0.61,0.45,0.37,0.36,0.36,0.65,0.40,0.52,0.45,0.47,0.39,0.49,0.42,0.42,0.50,0.53,0.43
2011,P48,0.53,0.55,0.54,0.47,0.43,0.44,0.46,0.47,0.49,0.49,0.43,0.52,0.28,0.57,0.37,0.41,0.54,0.47,0.30,0.61,0.49,0.39,0.49,0.39,0.42,0.44,0.41,0.43,0.47
2011,P49,0.22,0.33,0.27,0.49,0.19,0.14,0.34,0.28,0.32,0.26,0.32,0.45,0.35,0.19,0.17,0.24,0.32,0.23,0.40,0.23,0.32,0.36,0.25,0.27,0.21,0.26,0.24,0.31,0.34
2011,P50,0.12,0.39,0.44,0.10,0.50,0.28,0.30,0.24,0.28,0.41,0.37,0.28,0.22,0.40,0.35,0.23,0.50,0.16,0.41,0.26,0.26,0.36,0.36,0.24,0.29,0.32,0.24,0.25,0.31
2011,P51,0.35,0.33,0.46,0.49,0.38,0.40,0.31,0.39,0.23,0.30,0.21,0.38,0.28,0.20,0.40,0.50,0.30,0.35,0.50,0.30,0.40,0.34,0.30,0.36,0.40,0.39,0.33,0.28,0.32
2011,P52,0.38,0.27,0.30,0.37,0.34,0.26,0.24,0.43,0.27,0.39,0.24,0.29,0.21,0.21,0.15,0.37,0.31,0.33,0.20,0.28,0.27,0.25,0.35,0.34,0.21,0.35,0.36,0.31,0.25
2011,P53,0.36,0.32,0.33,0.21,0.49,0.35,0.26,0.11,0.35,0.25,0.32,0.28,0.41,0.33,0.42,0.35,0.45,0.26,0.28,0.27,0.37,0.26,0.36,0.38,0.28,0.39,0.27,0.32,0.29
2011,P54,0.54,0.28,0.41,0.39,0.23,0.36,0.22,0.18,0.28,0.23,0.25,0.18,0.18,0.18,0.38,0.32,0.35,0.36,0.19,0.40,0.32,0.25,0.24,0.22,0.32,0.23,0.29,0.37,0.32
2011,P55,0.55,0.27,0.23,0.40,0.47,0.25,0.39,0.19,0.37,0.19,0.42,0.44,0.30,0.27,0.26,0.23,0.31,0.36,0.44,0.34,0.29,0.32,0.40,0.27,0.36,0.37,0.41,0.34,0.27
2011,P56,0.26,0.51,0.31,0.40,0.34,0.24,0.21,0.35,0.40,0.22,0.38,0.25,0.29,0.28,0.35,0.29,0.27,0.44,0.23,0.29,0.25,0.29,0.30,0.28,0.34,0.36,0.27,0.35,0.27
2011,P57,0.38,0.32,0.31,0.52,0.42,0.31,0.17,0.20,0.22,0.16,0.31,0.29,0.11,0.21,0.38,0.30,0.47,0.22,0.38,0.28,0.26,0.34,0.27,0.28,0.31,0.35,0.34,0.23,0.32
2011,P58,0.46,0.16,0.35,0.42,0.32,0.21,0.35,0.40,0.28,0.33,0.47,0.39,0.35,0.31,0.37,0.37,0.14,0.52,0.38,0.20,0.27,0.36,0.29,0.36,0.42,0.32,0.33,0.36,0.32
2011,P59,0.56,0.19,0.35,0.33,0.29,0.29,0.46,0.32,0.10,0.22,0.30,0.34,0.29,0.21,0.26,0.30,0.33,0.15,0.38,0.41,0.33,0.27,0.31,0.31,0.32,0.24,0.35,0.30,0.32
2011,P60,0.41,0.41,0.38,0.40,0.11,0.45,0.36,0.10,0.12,0.29,0.17,0.31,0.28,0.35,0.15,0.41,0.53,0.38,0.39,0.26,0.28,0.33,0.26,0.26,0.26,0.29,0.27,0.27,0.37
2011,P61,0.21,0.29,0.10,0.08,0.41,0.35,0.41,0.28,0.19,0.41,0.20,0.28,0.27,0.48,0.29,0.31,0.23,0.34,0.40,0.29,0.22,0.29,0.30,0.35,0.27,0.22,0.21,0.31,0.25
2011,P62,0.63,0.21,0.36,0.42,0.35,0.21,0.30,0.29,0.38,0.38,0.42,0.20,0.22,0.28,0.27,0.34,0.34,0.31,0.42,0.24,0.29,0.40,0.37,0.37,0.39,0.26,0.32,0.36,0.27
2011,P63,0.50,0.37,0.39,0.41,0.30,0.35,0.15,0.13,0.45,0.27,0.36,0.32,0.21,0.19,0.36,0.37,0.20,0.22,0.19,0.30,0.31,0.33,0.31,0.23,0.25,0.26,0.26,0.37,0.37
2011,P64,0.33,0.35,0.16,0.27,0.08,0.11,0.35,0.26,0.41,0.28,0.36,0.38,0.30,0.19,0.28,0.31,0.31,0.46,0.28,0.34,0.26,0.25,0.36,0.23,0.27,0.30,0.31,0.27,0.33
2012,P01,0.76,0.85,0.69,0.69,0.65,0.54,0.51,0.83,0.65,0.67,0.53,0.80,0.77,0.59,0.57,0.59,0.63,0.69,0.67,0.53,0.61,0.68,0.59,0.72,0.64,0.73,0.69,0.60,0.70
2012,P02,0.54,0.57,0.52,0.58,0.73,0.79,0.64,0.71,0.63,0.49,0.68,0.59,0.53,0.79,0.76,0.81,0.63,0.56,0.75,0.76,0.70,0.65,0.66,0.59,0.67,0.70,0.71,0.62,0.57
2012,P03,0.71,0.70,0.50,0.81,0.77,0.65,0.56,0.57,0.63,0.58,0.76,0.73,0.80,0.77,0.72,0.74,0.73,0.69,0.53,0.65,0.74,0.68,0.68,0.70,0.73,0.68,0.65,0.65,0.63
2012,P04,0.77,0.66,0.72,0.69,0.64,0.69,0.59,0.67,0.52,0.65,0.76,0.53,0.57,0.74,0.77,0.78,0.81,0.61,0.67,0.56,0.73,0.72,0.60,0.74,0.61,0.66,0.65,0.74,0.60
2012,P05,0.88,0.73,0.75,0.54,0.68,0.59,0.73,0.58,0.78,0.72,0.51,0.77,0.79,0.71,0.76,0.68,0.67,0.62,0.65,0.62,0.71,0.72,0.74,0.69,0.62,0.76,0.74,0.71,0.72
2012,P06,0.58,0.89,0.64,0.79,0.80,0.66,0.60,0.72,0.61,0.50,0.54,0.59,0.71,0.68,0.66,0.67,0.85,0.64,0.77,0.72,0.73,0.76,0.70,0.65,0.64,0.63,0.64,0.68,0.74
2012,P07,0.71,0.74,0.61,0.58,0.65,0.61,0.74,0.70,0.51,0.67,0.60,0.67,0.47,0.63,0.75,0.68,0.76,0.75,0.70,0.76,0.67,0.71,0.71,0.64,0.74,0.66,0.67,0.63,0.69
2012,P08,0.74,0.59,0.84,0.81,0.66,0.54,0.74,0.71,0.57,0.57,0.78,0.50,0.56,0.64,0.84,0.49,0.75,0.76,0.71,0.79,0.61,0.66,0.72,0.75,0.63,0.75,0.63,0.64,0.76
2012,P09,0.68,0.77,0.75,0.63,0.56,0.59,0.68,0.50,0.56,0.54,0.70,0.55,0.65,0.62,0.62,0.63,0.76,0.66,0.80,0.65,0.58,0.61,0.70,0.62,0.65,0.72,0.71,0.68,0.57
2012,P10,0.54,0.60,0.83,0.76,0.75,0.62,0.78,0.70,0.63,0.40,0.48,0.83,0.72,0.71,0.64,0.64,0.81,0.87,0.84,0.88,0.63,0.71,0.68,0.72,0.63,0.68,0.63,0.71,0.72
2012,P11,0.58,0.47,0.62,0.86,0.88,0.51,0.59,0.58,0.55,0.54,0.73,0.77,0.72,0.59,0.69,0.59,0.60,0.81,0.74,0.74,0.69,0.65,0.72,0.63,0.61,0.64,0.60,0.70,0.68
2012,P12,0.67,0.82,0.58,0.71,0.66,0.59,0.73,0.54,0.79,0.66,0.74,0.63,0.67,0.67,0.63,0.77,0.63,0.58,0.61,0.63,0.64,0.73,0.59,0.64,0.59,0.68,0.72,0.67,0.59
2012,P13,0.77,0.67,0.87,0.76,0.51,0.70,0.59,0.68,0.76,0.65,0.63,0.67,0.72,0.59,0.62,0.67,0.76,0.78,0.76,0.48,0.68,0.61,0.63,0.66,0.66,0.76,0.61,0.70,0.65
2012,P14,0.73,0.81,0.65,0.65,0.76,0.82,0.63,0.61,0.65,0.61,0.75,0.75,0.66,0.73,0.70,0.64,0.79,0.70,0.76,0.73,0.67,0.64,0.71,0.65,0.64,0.72,0.79,0.75,0.71
2012,P15,0.75,0.70,0.67,0.52,0.73,0.48,0.64,0.65,0.73,0.68,0.53,0.56,0.76,0.60,0.56,0.70,0.71,0.68,0.67,0.61,0.60,0.69,0.68,0.58,0.59,0.64,0.71,0.60,0.57
2012,P16,0.29,0.80,0.51,0.70,0.61,0.79,0.77,0.57,0.70,0.59,0.68,0.57,0.58,0.76,0.75,0.72,0.72,0.56,0.49,0.59,0.68,0.56,0.67,0.67,0.58,0.59,0.61,0.67,0.62
2012,P17,0.37,0.60,0.50,0.47,0.56,0.56,0.51,0.46,0.37,0.38,0.48,0.62,0.30,0.31,0.36,0.42,0.60,0.54,0.55,0.47,0.43,0.49,0.41,0.41,0.48,0.41,0.42,0.45,0.55
2012,P18,0.57,0.52,0.32,0.55,0.42,0.43,0.60,0.38,0.36,0.43,0.45,0.51,0.59,0.29,0.39,0.54,0.44,0.54,0.64,0.62,0.41,0.45,0.44,0.50,0.46,0.55,0.52,0.49,0.47
2012,P19,0.32,0.48,0.64,0.50,0.61,0.32,0.52,0.63,0.32,0.23,0.44,0.30,0.37,0.45,0.36,0.44,0.53,0.33,0.50,0.39,0.48,0.43,0.49,0.37,0.46,0.38,0.40,0.48,0.46
2012,P20,0.40,0.49,0.61,0.66,0.56,0.53,0.49,0.41,0.54,0.55,0.57,0.43,0.49,0.53,0.44,0.53,0.54,0.47,0.52,0.60,0.59,0.47,0.46,0.55,0.54,0.57,0.57,0.59,0.52
2012,P21,0.44,0.60,0.46,0.53,0.39,0.46,0.50,0.30,0.49,0.37,0.43,0.61,0.48,0.60,0.50,0.45,0.41,0.42,0.54,0.61,0.41,0.48,0.54,0.49,0.42,0.49,0.50,0.42,0.55
2012,P22,0.58,0.67,0.36,0.52,0.34,0.49,0.41,0.65,0.36,0.36,0.36,0.52,0.44,0.33,0.32,0.48,0.37,0.57,0.46,0.28,0.43,0.48,0.46,0.38,0.48,0.44,0.52,0.52,0.50
2012,P23,0.36,0.47,0.51,0.48,0.69,0.58,0.57,0.54,0.45,0.35,0.50,0.40,0.50,0.65,0.39,0.49,0.44,0.52,0.44,0.43,0.46,0.48,0.42,0.50,0.50,0.49,0.55,0.50,0.42
2012,P24,0.18,0.69,0.48,0.54,0.49,0.47,0.35,0.46,0.32,0.42,0.38,0.57,0.39,0.54,0.50,0.60,0.41,0.44,0.60,0.44,0.46,0.49,0.39,0.45,0.39,0.40,0.53,0.53,0.51
2012,P25,0.55,0.46,0.39,0.67,0.51,0.70,0.24,0.34,0.54,0.58,0.48,0.50,0.43,0.44,0.35,0.33,0.48,0.42,0.69,0.70,0.52,0.43,0.53,0.47,0.52,0.54,0.48,0.56,0.45
2012,P26,0.55,0.56,0.49,0.56,0.62,0.39,0.56,0.52,0.55,0.48,0.53,0.45,0.46,0.60,0.45,0.43,0.45,0.54,0.56,0.38,0.56,0.54,0.49,0.53,0.43,0.44,0.55,0.53,0.55
2012,P27,0.62,0.48,0.67,0.68,0.70,0.43,0.54,0.43,0.31,0.55,0.51,0.58,0.57,0.49,0.55,0.63,0.66,0.42,0.49,0.42,0.55,0.56,0.56,0.50,0.46,0.46,0.52,0.49,0.59
2012,P28,0.74,0.52,0.33,0.62,0.44,0.44,0.37,0.40,0.47,0.47,0.53,0.48,0.42,0.46,0.53,0.53,0.36,0.25,0.52,0.48,0.53,0.46,0.50,0.41,0.49,0.47,0.51,0.49,0.45
2012,P29,0.59,0.37,0.41,0.35,0.45,0.48,0.43,0.52,0.56,0.43,0.51,0.51,0.40,0.53,0.51,0.57,0.40,0.62,0.56,0.50,0.46,0.48,0.47,0.52,0.47,0.49,0.46,0.48,0.43
2012,P30,0.46,0.75,0.53,0.44,0.56,0.45,0.30,0.45,0.37,0.27,0.40,0.44,0.41,0.39,0.54,0.54,0.55,0.38,0.42,0.39,0.40,0.52,0.45,0.50,0.44,0.43,0.49,0.47,0.49
2012,P31,0.50,0.36,0.43,0.39,0.36,0.46,0.38,0.43,0.49,0.47,0.30,0.48,0.50,0.38,0.50,0.59,0.33,0.45,0.62,0.58,0.39,0.48,0.38,0.51,0.50,0.37,0.40,0.48,0.51
2012,P32,0.52,0.39,0.49,0.44,0.53,0.39,0.39,0.44,0.35,0.39,0.49,0.53,0.48,0.43,0.30,0.40,0.45,0.52,0.41,0.50,0.48,0.39,0.48,0.50,0.41,0.51,0.46,0.45,0.39
2012,P33,0.26,0.33,0.57,0.37,0.39,0.65,0.54,0.44,0.57,0.58,0.37,0.44,0.53,0.52,0.34,0.36,0.50,0.40,0.56,0.54,0.45,0.44,0.42,0.45,0.50,0.40,0.44,0.44,0.48
2012,P34,0.23,0.51,0.42,0.59,0.44,0.38,0.38,0.35,0.27,0.42,0.36,0.50,0.40,0.47,0.45,0.62,0.41,0.42,0.68,0.56,0.38,0.50,0.49,0.36,0.48,0.42,0.39,0.48,0.37
2012,P35,0.49,0.56,0.51,0.52,0.39,0.50,0.46,0.30,0.51,0.38,0.35,0.37,0.54,0.40,0.40,0.52,0.36,0.42,0.43,0.59,0.37,0.40,0.39,0.38,0.42,0.48,0.47,0.42,0.39
2012,P36,0.69,0.24,0.30,0.48,0.56,0.52,0.50,0.50,0.35,0.51,0.54,0.45,0.41,0.35,0.38,0.68,0.60,0.57,0.37,0.60,0.54,0.44,0.52,0.44,0.41,0.50,0.56,0.52,0.45
2012,P37,0.74,0.46,0.41,0.59,0.52,0.45,0.26,0.40,0.45,0.34,0.38,0.55,0.38,0.54,0.38,0.51,0.44,0.56,0.50,0.46,0.44,0.49,0.48,0.49,0.47,0.50,0.50,0.46,0.52
2012,P38,0.48,0.42,0.56,0.45,0.42,0.65,0.35,0.48,0.59,0.59,0.35,0.63,0.48,0.40,0.33,0.56,0.50,0.50,0.54,0.47,0.45,0.54,0.48,0.56,0.49,0.54,0.48,0.49,0.43
2012,P39,0.19,0.43,0.35,0.43,0.37,0.50,0.58,0.63,0.45,0.55,0.25,0.51,0.31,0.34,0.53,0.37,0.51,0.46,0.50,0.56,0.47,0.42,0.49,0.47,0.52,0.37,0.49,0.47,0.41
2012,P40,0.62,0.59,0.27,0.41,0.44,0.55,0.45,0.45,0.44,0.53,0.42,0.42,0.43,0.48,0.36,0.58,0.59,0.50,0.48,0.60,0.45,0.54,0.45,0.51,0.43,0.45,0.48,0.54,0.52
2012,P41,0.48,0.37,0.58,0.47,0.51,0.52,0.61,0.48,0.47,0.28,0.53,0.57,0.34,0.55,0.55,0.45,0.44,0.45,0.31,0.43,0.44,0.53,0.48,0.49,0.44,0.45,0.48,0.54,0.52
2012,P42,0.45,0.26,0.44,0.32,0.54,0.53,0.39,0.30,0.49,0.45,0.39,0.45,0.33,0.38,0.50,0.54,0.56,0.49,0.44,0.46,0.48,0.48,0.50,0.39,0.48,0.45,0.43,0.41,0.50
2012,P43,0.34,0.51,0.41,0.69,0.34,0.47,0.40,0.52,0.56,0.54,0.29,0.45,0.38,0.61,0.39,0.42,0.37,0.50,0.51,0.31,0.45,0.42,0.51,0.46,0.45,0.42,0.46,0.48,0.39
2012,P44,0.53,0.46,0.55,0.43,0.46,0.50,0.32,0.33,0.50,0.66,0.35,0.34,0.43,0.44,0.27,0.38,0.60,0.58,0.48,0.36,0.47,0.46,0.39,0.45,0.47,0.48,0.51,0.50,0.38
2012,P45,0.32,0.47,0.24,0.48,0.45,0.50,0.52,0.34,0.29,0.46,0.55,0.58,0.61,0.45,0.51,0.36,0.39,0.56,0.40,0.42,0.45,0.51,0.40,0.49,0.51,0.42,0.43,0.50,0.38
2012,P46,0.35,0.23,0.46,0.49,0.59,0.44,0.54,0.41,0.42,0.31,0.56,0.34,0.49,0.47,0.43,0.48,0.47,0.63,0.51,0.56,0.38,0.43,0.41,0.40,0.46,0.39,0.47,0.42,0.49
2012,P47,0.50,0.53,0.55,0.71,0.34,0.29,0.41,0.37,0.35,0.37,0.42,0.51,0.58,0.44,0.40,0.37,0.37,0.66,0.41,0.54,0.50,0.46,0.53,0.42,0.53,0.43,0.48,0.49,0.52
2012,P48,0.53,0.55,0.54,0.48,0.42,0.42,0.46,0.47,0.49,0.48,0.44,0.52,0.30,0.57,0.36,0.41,0.55,0.46,0.30,0.61,0.48,0.41,0.45,0.51,0.41,0.43,0.41,0.51,0.51
2012,P49,0.23,0.34,0.29,0.49,0.17,0.18,0.36,0.30,0.33,0.27,0.32,0.46,0.35,0.21,0.16,0.23,0.35,0.24,0.42,0.27,0.27,0.24,0.33,0.31,0.29,0.36,0.36,0.33,0.22
