Province,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28
P22,0.31,0.39,0.72,0.33,0.54,0.28,0.71,0.62,0.44,0.42,0.61,0.48,0.68,0.52,0.39,0.57,0.39,0.68,0.43,0.51,0.31,0.29,0.5,0.59,0.45,0.7,0.53,0.44
P23,0.5,0.47,0.7,0.48,0.68,0.36,0.65,0.77,0.38,0.44,0.75,0.4,0.74,0.6,0.41,0.46,0.48,0.62,0.68,0.52,0.53,0.6,0.41,0.5,0.52,0.63,0.56,0.4
P24,0.38,0.35,0.58,0.62,0.6,0.44,0.72,0.64,0.43,0.51,0.71,0.69,0.56,0.56,0.48,0.61,0.22,0.51,0.67,0.46,0.43,0.59,0.56,0.57,0.61,0.68,0.52,0.51
P25,0.54,0.4,0.67,0.45,0.48,0.56,0.82,0.76,0.73,0.49,0.57,0.53,0.58,0.59,0.48,0.46,0.47,0.72,0.45,0.44,0.33,0.6,0.63,0.55,0.66,0.7,0.55,0.38
P26,0.51,0.54,0.6,0.37,0.63,0.53,0.71,0.75,0.55,0.61,0.77,0.68,0.7,0.58,0.74,0.54,0.5,0.65,0.79,0.62,0.49,0.67,0.46,0.69,0.81,0.76,0.58,0.63
P27,0.46,0.55,0.59,0.38,0.59,0.4,0.55,0.6,0.35,0.37,0.53,0.64,0.74,0.59,0.33,0.62,0.36,0.7,0.45,0.53,0.41,0.45,0.52,0.5,0.56,0.6,0.45,0.32
P28,0.57,0.47,0.7,0.44,0.79,0.44,0.76,0.61,0.41,0.35,0.76,0.65,0.73,0.62,0.56,0.62,0.51,0.6,0.66,0.54,0.46,0.55,0.51,0.61,0.72,0.72,0.51,0.42
P29,0.65,0.46,0.67,0.41,0.74,0.47,0.83,0.68,0.5,0.34,0.58,0.74,0.71,0.7,0.45,0.5,0.45,0.74,0.59,0.6,0.47,0.47,0.51,0.67,0.61,0.85,0.58,0.52
P30,0.51,0.62,0.48,0.34,0.38,0.4,0.62,0.56,0.28,0.24,0.54,0.57,0.37,0.55,0.54,0.47,0.46,0.53,0.55,0.5,0.3,0.47,0.38,0.57,0.51,0.62,0.41,0.46
P31,0.67,0.69,0.5,0.52,0.55,0.51,0.74,0.61,0.48,0.45,0.77,0.59,0.74,0.61,0.55,0.58,0.58,0.67,0.56,0.77,0.42,0.48,0.61,0.57,0.62,0.61,0.36,0.52
P32,0.36,0.46,0.5,0.41,0.68,0.35,0.86,0.53,0.56,0.4,0.6,0.39,0.51,0.5,0.27,0.54,0.56,0.64,0.57,0.46,0.34,0.45,0.51,0.56,0.56,0.58,0.47,0.51
P33,0.43,0.47,0.6,0.38,0.61,0.19,0.67,0.44,0.43,0.31,0.58,0.55,0.32,0.56,0.46,0.31,0.43,0.54,0.41,0.48,0.37,0.45,0.34,0.48,0.59,0.6,0.38,0.4
P34,0.58,0.43,0.74,0.53,0.92,0.58,0.79,0.72,0.67,0.36,0.72,0.65,0.79,0.84,0.7,0.71,0.63,0.74,0.57,0.64,0.5,0.61,0.6,0.71,0.66,0.81,0.67,0.5
P35,0.63,0.48,0.56,0.53,0.71,0.46,0.89,0.57,0.68,0.49,0.76,0.82,0.66,0.69,0.55,0.72,0.63,0.55,0.71,0.76,0.51,0.56,0.48,0.67,0.63,0.75,0.61,0.58
P36,0.57,0.62,0.58,0.43,0.64,0.49,0.7,0.57,0.56,0.48,0.79,0.74,0.68,0.56,0.57,0.51,0.64,0.72,0.71,0.65,0.55,0.6,0.64,0.84,0.75,0.56,0.67,0.42
P37,0.54,0.55,0.55,0.56,0.62,0.51,0.73,0.57,0.51,0.41,0.56,0.68,0.61,0.62,0.37,0.48,0.38,0.63,0.6,0.53,0.47,0.56,0.74,0.66,0.64,0.72,0.44,0.52
P38,0.39,0.4,0.63,0.45,0.53,0.26,0.64,0.46,0.29,0.49,0.55,0.57,0.6,0.66,0.39,0.56,0.41,0.75,0.4,0.28,0.42,0.48,0.5,0.58,0.65,0.47,0.21,0.4
P39,0.54,0.5,0.62,0.55,0.77,0.55,0.6,0.67,0.65,0.34,0.62,0.61,0.64,0.72,0.53,0.68,0.46,0.72,0.59,0.66,0.54,0.6,0.73,0.52,0.6,0.82,0.73,0.54
P40,0.46,0.41,0.61,0.46,0.6,0.29,0.54,0.72,0.6,0.49,0.51,0.66,0.64,0.53,0.51,0.62,0.46,0.66,0.55,0.48,0.35,0.6,0.6,0.6,0.58,0.57,0.49,0.42
P41,0.44,0.52,0.68,0.33,0.55,0.53,0.6,0.67,0.46,0.42,0.65,0.66,0.65,0.58,0.45,0.37,0.28,0.71,0.27,0.39,0.33,0.4,0.47,0.62,0.61,0.45,0.53,0.49
P42,0.58,0.69,0.52,0.39,0.57,0.42,0.63,0.62,0.52,0.43,0.66,0.65,0.48,0.71,0.68,0.69,0.5,0.65,0.61,0.62,0.47,0.46,0.53,0.63,0.57,0.66,0.54,0.58
P43,0.56,0.51,0.67,0.28,0.62,0.41,0.45,0.46,0.4,0.57,0.53,0.46,0.28,0.52,0.49,0.41,0.36,0.54,0.48,0.49,0.46,0.43,0.37,0.68,0.45,0.52,0.44,0.48
P44,0.99,0.59,0.6,0.51,0.66,0.56,0.68,0.63,0.68,0.47,0.77,0.66,0.62,0.68,0.52,0.62,0.57,0.76,0.74,0.71,0.74,0.76,0.74,0.79,0.68,0.66,0.54,0.49
P45,0.51,0.28,0.37,0.41,0.64,0.38,0.64,0.73,0.51,0.38,0.57,0.58,0.6,0.55,0.59,0.45,0.37,0.74,0.72,0.59,0.44,0.48,0.51,0.55,0.47,0.6,0.56,0.46
P46,0.63,0.59,0.77,0.6,0.83,0.67,0.66,0.75,0.3,0.4,0.78,0.78,0.52,0.66,0.41,0.6,0.44,0.71,0.51,0.57,0.56,0.68,0.4,0.79,0.67,0.71,0.68,0.6
P47,0.54,0.57,0.39,0.54,0.47,0.48,0.84,0.59,0.43,0.33,0.66,0.73,0.56,0.67,0.35,0.47,0.51,0.8,0.5,0.44,0.32,0.48,0.54,0.57,0.44,0.51,0.57,0.51
P48,0.57,0.42,0.62,0.61,0.77,0.37,0.65,0.65,0.41,0.53,0.7,0.56,0.51,0.65,0.54,0.59,0.47,0.72,0.5,0.64,0.53,0.51,0.62,0.79,0.61,0.7,0.52,0.54
P49,0.32,0.35,0.48,0.37,0.51,0.48,0.63,0.46,0.23,0.16,0.53,0.49,0.51,0.59,0.28,0.35,0.37,0.56,0.43,0.25,0.46,0.47,0.46,0.6,0.51,0.49,0.37,0.38
P50,0.3,0.37,0.45,0.16,0.31,0.23,0.57,0.43,0.34,0.12,0.33,0.33,0.34,0.3,0.05,0.34,0.13,0.38,0.43,0.22,0.29,0.19,0.37,0.4,0.42,0.53,0.3,0.39
P51,0.41,0.57,0.52,0.32,0.6,0.33,0.6,0.58,0.44,0.38,0.68,0.47,0.57,0.62,0.53,0.46,0.53,0.59,0.43,0.46,0.33,0.42,0.47,0.45,0.45,0.73,0.56,0.34
P52,0.38,0.51,0.46,0.27,0.6,0.44,0.54,0.59,0.34,0.35,0.59,0.57,0.67,0.63,0.41,0.42,0.27,0.69,0.5,0.57,0.22,0.41,0.32,0.54,0.56,0.72,0.55,0.37
P53,0.56,0.46,0.54,0.47,0.52,0.34,0.59,0.64,0.27,0.28,0.59,0.57,0.52,0.78,0.39,0.51,0.17,0.78,0.61,0.4,0.4,0.41,0.36,0.48,0.47,0.63,0.48,0.34
P54,0.57,0.51,0.42,0.36,0.61,0.52,0.61,0.66,0.44,0.25,0.64,0.57,0.59,0.58,0.38,0.37,0.42,0.59,0.37,0.47,0.33,0.48,0.52,0.51,0.67,0.57,0.35,0.42
P55,0.33,0.32,0.46,0.3,0.63,0.44,0.52,0.52,0.4,0.34,0.5,0.46,0.54,0.46,0.3,0.4,0.35,0.51,0.46,0.42,0.28,0.45,0.28,0.44,0.55,0.54,0.27,0.26
P56,0.38,0.3,0.54,0.42,0.54,0.39,0.53,0.57,0.32,0.47,0.48,0.58,0.53,0.59,0.23,0.52,0.37,0.54,0.59,0.43,0.51,0.44,0.49,0.47,0.45,0.58,0.44,0.52
P57,0.3,0.34,0.3,0.14,0.29,0.26,0.45,0.48,0.29,0.28,0.22,0.37,0.28,0.47,0.12,0.3,0.24,0.34,0.29,0.15,0.08,0.25,0.33,0.37,0.29,0.49,0.36,0.24
P58,0.34,0.32,0.33,0.22,0.39,0.19,0.42,0.34,0.35,0.3,0.39,0.44,0.31,0.5,0.05,0.2,0.27,0.45,0.43,0.2,0.19,0.22,0.44,0.32,0.27,0.47,0.36,0.16
P59,0.18,0.24,0.42,0.12,0.37,0.2,0.6,0.5,0.24,0.19,0.41,0.27,0.28,0.34,0.16,0.2,0.22,0.49,0.24,0.17,0.19,0.25,0.37,0.33,0.35,0.35,0.33,0.1
P60,0.26,0.26,0.39,0.22,0.52,0.13,0.71,0.43,0.38,0.27,0.44,0.48,0.34,0.53,0.19,0.33,0.22,0.34,0.42,0.32,0.26,0.37,0.38,0.37,0.35,0.51,0.29,0.29
P61,0.36,0.33,0.36,0.34,0.44,0.2,0.44,0.39,0.31,0.14,0.22,0.48,0.55,0.44,0.12,0.38,0.22,0.59,0.25,0.27,0.18,0.39,0.33,0.47,0.25,0.27,0.33,0.38
P62,0.37,0.24,0.23,0.26,0.35,0.28,0.43,0.25,0.22,0.2,0.45,0.42,0.4,0.48,0.25,0.29,0.33,0.48,0.24,0.28,0.14,0.33,0.34,0.43,0.37,0.43,0.41,0.21
P63,0.43,0.4,0.38,0.45,0.63,0.24,0.63,0.4,0.47,0.42,0.6,0.44,0.35,0.59,0.39,0.36,0.34,0.55,0.46,0.37,0.2,0.37,0.46,0.51,0.59,0.61,0.61,0.56
