Province,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28
P16,0.57,0.46,0.67,0.61,0.83,0.65,0.97,0.84,0.63,0.56,0.78,0.72,0.8,0.73,0.72,0.79,0.68,0.79,0.8,0.66,0.64,0.53,0.63,0.82,0.8,0.88,0.75,0.68
P17,0.47,0.45,0.72,0.45,0.51,0.37,0.66,0.63,0.38,0.46,0.65,0.56,0.83,0.48,0.27,0.51,0.33,0.52,0.52,0.58,0.49,0.4,0.64,0.62,0.44,0.64,0.59,0.42
P18,0.57,0.58,0.6,0.37,0.77,0.4,0.69,0.52,0.45,0.66,0.73,0.59,0.62,0.52,0.65,0.53,0.46,0.64,0.59,0.45,0.49,0.43,0.47,0.56,0.5,0.64,0.52,0.41
P19,0.57,0.67,0.52,0.34,0.61,0.42,0.67,0.61,0.51,0.5,0.77,0.95,0.46,0.55,0.46,0.55,0.53,0.79,0.57,0.5,0.4,0.68,0.42,0.73,0.49,0.69,0.55,0.48
P20,0.52,0.48,0.64,0.5,0.72,0.47,0.64,0.48,0.48,0.58,0.51,0.5,0.59,0.58,0.38,0.51,0.31,0.55,0.74,0.56,0.52,0.49,0.48,0.66,0.66,0.75,0.46,0.39
P21,0.69,0.53,0.62,0.61,0.62,0.57,0.71,0.73,0.5,0.32,0.74,0.74,0.66,0.6,0.69,0.69,0.55,0.69,0.63,0.71,0.47,0.67,0.61,0.63,0.69,0.65,0.56,0.51
P22,0.62,0.46,0.53,0.49,0.51,0.44,0.64,0.52,0.42,0.35,0.5,0.47,0.59,0.63,0.31,0.44,0.44,0.64,0.49,0.56,0.21,0.4,0.53,0.7,0.62,0.78,0.5,0.55
P23,0.49,0.49,0.61,0.39,0.54,0.45,0.74,0.63,0.57,0.44,0.6,0.66,0.64,0.69,0.54,0.47,0.4,0.7,0.63,0.51,0.45,0.55,0.5,0.63,0.59,0.58,0.58,0.43
P24,0.45,0.53,0.63,0.53,0.75,0.42,0.69,0.49,0.4,0.44,0.67,0.69,0.46,0.65,0.45,0.49,0.5,0.7,0.55,0.5,0.48,0.44,0.66,0.61,0.67,0.64,0.51,0.58
P25,0.72,0.52,0.51,0.4,0.77,0.42,0.61,0.61,0.46,0.41,0.6,0.72,0.68,0.58,0.53,0.63,0.33,0.62,0.67,0.51,0.42,0.33,0.53,0.61,0.61,0.8,0.65,0.46
P26,0.7,0.69,0.63,0.61,0.71,0.45,0.88,0.78,0.64,0.61,0.66,0.81,0.7,0.67,0.58,0.67,0.61,0.66,0.68,0.58,0.51,0.68,0.57,0.72,0.58,0.74,0.53,0.31
P27,0.58,0.4,0.43,0.4,0.58,0.45,0.75,0.58,0.51,0.37,0.61,0.52,0.56,0.7,0.41,0.4,0.32,0.78,0.51,0.34,0.37,0.38,0.51,0.58,0.64,0.7,0.48,0.34
P28,0.56,0.57,0.63,0.44,0.82,0.49,0.63,0.63,0.42,0.56,0.74,0.58,0.52,0.56,0.67,0.46,0.55,0.65,0.48,0.68,0.49,0.43,0.45,0.63,0.63,0.57,0.54,0.39
P29,0.55,0.68,0.77,0.66,0.65,0.51,0.77,0.68,0.57,0.63,0.64,0.58,0.78,0.69,0.57,0.6,0.41,0.61,0.75,0.56,0.5,0.71,0.64,0.59,0.6,0.66,0.67,0.53
P30,0.52,0.42,0.43,0.4,0.56,0.48,0.56,0.65,0.37,0.33,0.51,0.54,0.52,0.67,0.55,0.5,0.46,0.56,0.46,0.39,0.27,0.4,0.44,0.6,0.43,0.6,0.46,0.47
P31,0.55,0.47,0.5,0.58,0.63,0.62,0.65,0.75,0.37,0.39,0.62,0.77,0.87,0.78,0.43,0.43,0.39,0.6,0.69,0.6,0.47,0.51,0.72,0.74,0.64,0.58,0.56,0.56
P32,0.57,0.48,0.48,0.33,0.58,0.25,0.56,0.75,0.42,0.47,0.69,0.55,0.51,0.72,0.43,0.47,0.45,0.7,0.57,0.42,0.43,0.42,0.51,0.53,0.46,0.52,0.41,0.44
P33,0.5,0.45,0.49,0.29,0.57,0.42,0.72,0.75,0.58,0.41,0.48,0.57,0.53,0.59,0.39,0.37,0.46,0.47,0.57,0.53,0.39,0.47,0.39,0.58,0.63,0.65,0.46,0.5
P34,0.78,0.54,0.75,0.58,0.74,0.53,0.76,0.95,0.61,0.58,0.9,0.69,0.8,0.78,0.43,0.63,0.49,0.72,0.76,0.57,0.47,0.73,0.64,0.66,0.71,0.75,0.54,0.51
P35,0.73,0.6,0.66,0.55,0.78,0.61,0.75,0.74,0.45,0.66,0.58,0.74,0.65,0.72,0.61,0.65,0.65,0.79,0.65,0.69,0.56,0.55,0.68,0.82,0.76,0.74,0.66,0.44
P36,0.65,0.7,0.69,0.71,0.86,0.41,0.68,0.73,0.57,0.7,0.79,0.8,0.6,0.67,0.61,0.57,0.65,0.74,0.63,0.58,0.46,0.54,0.63,0.75,0.66,0.71,0.69,0.52
P37,0.55,0.4,0.52,0.41,0.51,0.4,0.58,0.77,0.38,0.47,0.68,0.55,0.6,0.54,0.42,0.5,0.5,0.57,0.51,0.52,0.4,0.53,0.42,0.55,0.85,0.79,0.47,0.41
P38,0.41,0.54,0.5,0.4,0.59,0.23,0.8,0.68,0.36,0.45,0.6,0.55,0.58,0.7,0.46,0.41,0.27,0.62,0.49,0.53,0.65,0.51,0.5,0.6,0.49,0.68,0.46,0.39
P39,0.64,0.43,0.57,0.65,0.61,0.54,0.73,0.64,0.5,0.39,0.84,0.72,0.75,0.78,0.59,0.5,0.5,0.61,0.64,0.54,0.36,0.46,0.67,0.61,0.62,0.77,0.62,0.65
P40,0.55,0.73,0.5,0.51,0.53,0.56,0.67,0.57,0.53,0.46,0.62,0.67,0.55,0.64,0.44,0.51,0.33,0.68,0.6,0.59,0.68,0.41,0.43,0.7,0.71,0.66,0.54,0.32
P41,0.42,0.35,0.58,0.29,0.6,0.39,0.59,0.43,0.4,0.35,0.68,0.61,0.53,0.63,0.25,0.4,0.58,0.54,0.65,0.33,0.41,0.6,0.38,0.5,0.48,0.48,0.36,0.32
P42,0.52,0.63,0.56,0.52,0.68,0.41,0.57,0.68,0.53,0.42,0.55,0.6,0.75,0.54,0.38,0.45,0.47,0.57,0.63,0.66,0.45,0.36,0.49,0.63,0.43,0.68,0.63,0.4
P43,0.41,0.39,0.54,0.35,0.63,0.39,0.64,0.67,0.57,0.32,0.57,0.51,0.6,0.71,0.41,0.19,0.47,0.56,0.71,0.68,0.4,0.42,0.43,0.55,0.47,0.56,0.63,0.37
P44,0.62,0.66,0.61,0.63,0.68,0.45,0.7,0.68,0.67,0.51,0.76,0.91,0.78,0.88,0.5,0.67,0.62,0.83,0.9,0.49,0.43,0.51,0.69,0.8,0.73,0.63,0.69,0.62
P45,0.4,0.63,0.55,0.4,0.64,0.48,0.6,0.55,0.47,0.39,0.65,0.87,0.56,0.69,0.34,0.52,0.43,0.57,0.6,0.47,0.49,0.37,0.59,0.7,0.68,0.79,0.37,0.23
P46,0.68,0.54,0.46,0.38,0.69,0.47,0.97,0.46,0.52,0.4,0.8,0.67,0.62,0.66,0.5,0.66,0.46,0.76,0.58,0.56,0.44,0.45,0.51,0.61,0.91,0.79,0.67,0.49
P47,0.54,0.69,0.53,0.4,0.68,0.49,0.65,0.66,0.39,0.48,0.76,0.58,0.43,0.65,0.49,0.53,0.43,0.64,0.47,0.59,0.48,0.74,0.52,0.59,0.64,0.69,0.43,0.51
P48,0.65,0.68,0.54,0.45,0.65,0.27,0.72,0.74,0.53,0.58,0.77,0.48,0.65,0.72,0.36,0.58,0.56,0.6,0.79,0.55,0.45,0.34,0.63,0.57,0.59,0.54,0.59,0.64
P49,0.49,0.25,0.53,0.2,0.46,0.33,0.55,0.51,0.16,0.34,0.47,0.73,0.5,0.57,0.32,0.34,0.31,0.48,0.59,0.26,0.16,0.4,0.55,0.55,0.49,0.62,0.35,0.38
P50,0.31,0.28,0.24,0.24,0.49,0.32,0.24,0.34,0.42,0.23,0.45,0.51,0.44,0.39,0.31,0.28,0.35,0.41,0.18,0.35,0.17,0.13,0.31,0.39,0.34,0.4,0.34,0.31
P51,0.37,0.46,0.53,0.51,0.7,0.41,0.76,0.58,0.47,0.4,0.61,0.58,0.52,0.68,0.34,0.61,0.35,0.43,0.69,0.54,0.47,0.43,0.51,0.59,0.47,0.59,0.57,0.49
P52,0.58,0.43,0.52,0.31,0.51,0.37,0.63,0.52,0.31,0.43,0.4,0.45,0.52,0.52,0.39,0.48,0.35,0.46,0.42,0.3,0.38,0.23,0.47,0.37,0.45,0.61,0.57,0.48
P53,0.38,0.44,0.61,0.35,0.66,0.37,0.46,0.63,0.41,0.24,0.72,0.61,0.58,0.51,0.49,0.54,0.44,0.65,0.59,0.59,0.64,0.47,0.45,0.62,0.41,0.79,0.38,0.41
P54,0.52,0.38,0.59,0.39,0.64,0.31,0.59,0.52,0.39,0.43,0.41,0.5,0.47,0.53,0.59,0.5,0.34,0.66,0.48,0.42,0.21,0.47,0.48,0.45,0.63,0.59,0.43,0.43
P55,0.51,0.38,0.54,0.37,0.5,0.24,0.5,0.4,0.45,0.29,0.42,0.49,0.5,0.49,0.34,0.39,0.21,0.48,0.47,0.62,0.48,0.43,0.24,0.51,0.53,0.62,0.49,0.4
P56,0.53,0.51,0.53,0.47,0.55,0.43,0.64,0.43,0.47,0.39,0.78,0.61,0.5,0.56,0.35,0.35,0.37,0.64,0.63,0.49,0.39,0.34,0.43,0.41,0.57,0.6,0.52,0.43
P57,0.23,0.05,0.29,0.37,0.33,0.18,0.41,0.33,0.16,0.22,0.35,0.4,0.44,0.49,0.06,0.37,0.31,0.4,0.26,0.37,0.2,0.18,0.31,0.3,0.37,0.41,0.2,0.08
P58,0.32,0.36,0.43,0.29,0.51,0.25,0.48,0.35,0.34,0.14,0.55,0.52,0.47,0.32,0.17,0.36,0.23,0.36,0.36,0.22,0.18,0.26,0.22,0.34,0.29,0.53,0.47,0.28
P59,0.22,0.26,0.2,0.18,0.4,0.27,0.27,0.29,0.34,0.05,0.41,0.33,0.32,0.2,0.05,0.27,0.12,0.35,0.33,0.23,0.22,0.29,0.23,0.33,0.51,0.42,0.3,0.19
P60,0.28,0.44,0.4,0.28,0.57,0.2,0.5,0.33,0.28,0.23,0.55,0.35,0.36,0.55,0.4,0.16,0.19,0.35,0.45,0.28,0.31,0.33,0.32,0.32,0.35,0.36,0.29,0.23
P61,0.11,0.29,0.33,0.27,0.45,0.45,0.43,0.37,0.35,0.19,0.55,0.44,0.44,0.46,0.3,0.41,0.36,0.54,0.46,0.22,0.27,0.25,0.41,0.38,0.5,0.52,0.28,0.32
P62,0.48,0.25,0.55,0.25,0.56,0.17,0.43,0.38,0.37,0.26,0.47,0.39,0.28,0.33,0.26,0.28,0.21,0.6,0.31,0.21,0.34,0.39,0.38,0.29,0.59,0.45,0.46,0.23
P63,0.33,0.38,0.46,0.42,0.5,0.32,0.6,0.48,0.39,0.21,0.6,0.51,0.71,0.63,0.57,0.36,0.43,0.68,0.49,0.44,0.28,0.32,0.69,0.52,0.47,0.72,0.48,0.34
