Province,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28
P30,0.55,0.54,0.53,0.53,0.63,0.51,0.58,0.65,0.31,0.46,0.58,0.63,0.77,0.72,0.63,0.66,0.41,0.77,0.72,0.55,0.28,0.6,0.48,0.61,0.53,0.53,0.55,0.39
P31,0.79,0.7,1.0,0.81,0.76,0.76,0.78,0.83,0.5,0.61,0.76,0.73,0.77,0.69,0.64,0.62,0.7,0.81,0.91,0.66,0.6,0.7,0.53,0.94,0.77,0.81,0.74,0.82
P32,0.56,0.5,0.52,0.57,0.65,0.47,0.92,0.61,0.58,0.45,0.7,0.74,0.62,0.7,0.46,0.48,0.51,0.71,0.64,0.58,0.42,0.62,0.57,0.72,0.7,0.77,0.58,0.49
P33,0.63,0.61,0.6,0.5,0.82,0.5,0.56,0.62,0.53,0.45,0.64,0.61,0.7,0.78,0.47,0.63,0.62,0.75,0.53,0.44,0.5,0.68,0.63,0.79,0.64,0.58,0.39,0.32
P34,0.82,0.77,0.73,0.74,0.86,0.56,0.86,0.78,0.63,0.46,0.83,0.68,0.97,0.88,0.62,0.55,0.79,0.91,0.75,0.83,0.68,0.63,0.73,0.7,0.88,0.89,0.79,0.84
P35,0.73,0.67,0.88,0.77,0.94,0.84,0.87,0.73,0.73,0.64,0.88,0.79,0.88,0.88,0.7,0.85,0.76,0.95,0.91,0.7,0.58,0.75,0.66,0.96,0.8,0.79,0.72,0.75
P36,0.72,0.85,0.78,0.54,0.83,0.82,0.82,0.93,0.9,0.55,0.78,0.91,0.75,0.81,0.69,0.77,0.83,1.0,0.85,0.69,0.74,0.72,0.64,0.74,0.74,0.82,0.77,0.62
P37,0.51,0.74,0.62,0.71,0.76,0.59,0.77,0.68,0.61,0.47,0.61,0.62,0.63,0.81,0.59,0.52,0.49,0.72,0.73,0.55,0.59,0.64,0.56,0.72,0.69,0.73,0.6,0.5
P38,0.6,0.62,0.56,0.44,0.7,0.43,0.76,0.76,0.52,0.54,0.73,0.79,0.86,0.58,0.61,0.42,0.45,0.77,0.75,0.64,0.52,0.61,0.48,0.7,0.56,0.49,0.38,0.53
P39,0.87,0.77,0.88,0.57,0.88,0.54,0.93,0.76,0.68,0.6,0.85,0.74,0.74,0.86,0.56,0.69,0.71,0.8,0.7,0.63,0.63,0.7,0.62,0.85,0.68,0.77,0.69,0.69
P40,0.77,0.55,0.81,0.61,0.7,0.59,1.0,0.76,0.65,0.59,0.88,0.69,0.75,0.96,0.48,0.76,0.72,0.75,0.7,0.56,0.72,0.78,0.68,0.6,0.66,0.74,0.6,0.52
P41,0.52,0.6,0.54,0.58,0.63,0.63,0.8,0.84,0.58,0.36,0.74,0.81,0.9,0.78,0.56,0.64,0.44,0.63,0.6,0.63,0.54,0.59,0.57,0.65,0.78,0.82,0.51,0.5
P42,0.8,0.63,0.5,0.53,0.79,0.43,0.91,0.84,0.47,0.66,0.74,0.76,0.71,0.82,0.63,0.62,0.59,0.87,0.74,0.63,0.61,0.59,0.51,0.85,0.72,0.71,0.78,0.48
P43,0.47,0.58,0.74,0.55,0.86,0.51,0.58,0.75,0.78,0.48,0.7,0.71,0.72,0.61,0.42,0.52,0.58,0.64,0.69,0.59,0.5,0.63,0.45,0.8,0.81,0.68,0.54,0.48
P44,0.75,0.93,0.71,0.78,0.81,0.78,0.87,0.82,0.75,0.72,0.79,0.72,0.83,1.0,0.6,0.77,0.65,0.93,0.81,0.69,0.5,0.79,0.78,0.8,0.8,0.75,0.72,0.71
P45,0.68,0.64,0.69,0.64,0.72,0.6,0.78,0.61,0.57,0.43,0.73,0.67,0.5,0.64,0.61,0.62,0.57,0.83,0.76,0.52,0.53,0.57,0.56,0.73,0.48,0.63,0.48,0.41
P46,0.76,0.74,0.75,0.68,0.74,0.77,0.81,0.72,0.65,0.64,0.84,0.69,0.83,0.79,0.62,0.62,0.58,0.91,0.88,0.65,0.66,0.53,0.7,0.73,0.9,0.76,0.83,0.53
P47,0.65,0.6,0.58,0.62,0.92,0.53,0.74,0.7,0.53,0.51,0.6,0.73,0.8,0.73,0.51,0.6,0.55,0.81,0.73,0.69,0.64,0.57,0.7,0.72,0.79,0.77,0.7,0.5
P48,0.61,0.82,0.77,0.64,0.54,0.51,0.93,0.78,0.63,0.74,0.68,0.68,0.88,0.58,0.69,0.7,0.51,0.69,0.73,0.62,0.68,0.66,0.64,0.91,0.64,0.64,0.6,0.39
P49,0.37,0.5,0.47,0.31,0.55,0.41,0.67,0.63,0.4,0.36,0.45,0.59,0.63,0.62,0.46,0.84,0.55,0.61,0.49,0.57,0.29,0.32,0.58,0.53,0.5,0.59,0.46,0.35
P50,0.31,0.43,0.47,0.42,0.67,0.26,0.58,0.43,0.45,0.33,0.35,0.48,0.44,0.45,0.38,0.37,0.4,0.37,0.61,0.36,0.19,0.33,0.29,0.62,0.47,0.7,0.2,0.34
P51,0.54,0.68,0.82,0.51,0.55,0.69,0.78,0.76,0.61,0.43,0.59,0.59,0.62,0.49,0.58,0.58,0.58,0.67,0.81,0.63,0.63,0.49,0.68,0.76,0.68,0.76,0.62,0.46
P52,0.66,0.56,0.58,0.59,0.57,0.5,0.79,0.68,0.63,0.47,0.84,0.84,0.77,0.72,0.64,0.52,0.58,0.67,0.53,0.53,0.41,0.45,0.47,0.51,0.67,0.79,0.57,0.56
P53,0.71,0.69,0.64,0.37,0.71,0.52,0.74,0.64,0.62,0.5,0.6,0.76,0.66,0.82,0.55,0.61,0.63,0.81,0.59,0.55,0.64,0.59,0.61,0.75,0.82,0.68,0.51,0.51
P54,0.59,0.65,0.62,0.48,0.63,0.56,0.81,0.74,0.53,0.58,0.6,0.5,0.55,0.72,0.51,0.58,0.49,0.82,0.46,0.5,0.38,0.59,0.63,0.78,0.86,0.64,0.41,0.57
P55,0.46,0.49,0.39,0.43,0.62,0.39,0.53,0.61,0.58,0.43,0.68,0.8,0.82,0.7,0.4,0.4,0.29,0.53,0.6,0.46,0.48,0.43,0.64,0.63,0.56,0.52,0.54,0.46
P56,0.74,0.75,0.36,0.56,0.73,0.64,0.67,0.62,0.56,0.48,0.55,0.63,0.73,0.61,0.44,0.47,0.43,0.72,0.61,0.59,0.43,0.64,0.77,0.8,0.75,0.73,0.61,0.46
P57,0.5,0.45,0.26,0.5,0.49,0.28,0.51,0.47,0.44,0.29,0.52,0.53,0.42,0.56,0.32,0.44,0.36,0.44,0.55,0.32,0.38,0.44,0.28,0.39,0.34,0.48,0.25,0.35
P58,0.47,0.37,0.44,0.38,0.6,0.31,0.57,0.37,0.38,0.19,0.62,0.54,0.49,0.4,0.3,0.44,0.44,0.39,0.47,0.4,0.31,0.28,0.55,0.53,0.46,0.48,0.29,0.3
P59,0.39,0.52,0.31,0.34,0.59,0.12,0.61,0.48,0.12,0.3,0.45,0.41,0.37,0.55,0.3,0.5,0.23,0.44,0.48,0.29,0.25,0.47,0.39,0.31,0.4,0.49,0.41,0.28
P60,0.49,0.36,0.72,0.31,0.66,0.27,0.62,0.49,0.5,0.42,0.74,0.55,0.48,0.44,0.5,0.34,0.28,0.51,0.49,0.49,0.42,0.44,0.38,0.45,0.52,0.62,0.55,0.25
P61,0.43,0.53,0.63,0.31,0.49,0.39,0.42,0.55,0.4,0.38,0.56,0.58,0.43,0.55,0.41,0.45,0.24,0.64,0.4,0.39,0.38,0.5,0.56,0.55,0.42,0.39,0.5,0.46
P62,0.42,0.38,0.46,0.33,0.64,0.44,0.63,0.56,0.44,0.22,0.65,0.53,0.3,0.57,0.22,0.42,0.23,0.57,0.68,0.42,0.36,0.48,0.46,0.59,0.35,0.42,0.48,0.26
P63,0.54,0.67,0.68,0.56,0.87,0.46,0.75,0.62,0.47,0.5,0.63,0.68,0.66,0.73,0.41,0.38,0.49,0.76,0.65,0.66,0.39,0.55,0.57,0.75,0.62,0.83,0.54,0.58
