Province,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28
P30,0.45,0.48,0.4,0.27,0.73,0.46,0.63,0.54,0.51,0.38,0.57,0.51,0.56,0.41,0.48,0.52,0.42,0.61,0.48,0.48,0.47,0.53,0.47,0.37,0.41,0.66,0.54,0.3
P31,0.58,0.56,0.62,0.56,0.72,0.49,0.85,0.65,0.5,0.44,0.79,0.6,0.66,0.76,0.39,0.56,0.45,0.68,0.75,0.66,0.47,0.57,0.58,0.65,0.67,0.67,0.84,0.55
P32,0.44,0.4,0.48,0.38,0.57,0.39,0.84,0.57,0.55,0.46,0.67,0.44,0.62,0.65,0.48,0.56,0.41,0.69,0.51,0.45,0.33,0.38,0.47,0.78,0.47,0.51,0.49,0.55
P33,0.57,0.47,0.43,0.34,0.47,0.51,0.63,0.57,0.4,0.28,0.61,0.54,0.58,0.67,0.44,0.52,0.42,0.63,0.64,0.41,0.32,0.65,0.5,0.66,0.6,0.66,0.38,0.5
P34,0.6,0.7,0.75,0.63,0.72,0.54,0.7,0.71,0.61,0.63,0.6,0.65,0.65,0.72,0.29,0.67,0.55,0.84,0.64,0.59,0.46,0.63,0.54,0.85,0.62,0.73,0.73,0.66
P35,0.74,0.66,0.78,0.51,0.75,0.57,0.83,0.72,0.66,0.28,0.76,0.73,0.88,0.86,0.45,0.47,0.67,0.89,0.7,0.63,0.7,0.56,0.81,0.74,0.72,0.66,0.62,0.63
P36,0.7,0.61,0.8,0.5,0.67,0.37,0.85,0.7,0.61,0.5,0.82,0.59,0.7,0.65,0.44,0.62,0.57,0.67,0.5,0.71,0.62,0.7,0.62,0.97,0.83,0.61,0.66,0.51
P37,0.6,0.5,0.47,0.53,0.59,0.5,0.68,0.59,0.44,0.46,0.69,0.6,0.63,0.65,0.38,0.47,0.52,0.86,0.52,0.54,0.46,0.39,0.53,0.57,0.71,0.58,0.65,0.32
P38,0.5,0.44,0.55,0.38,0.59,0.46,0.49,0.53,0.48,0.31,0.61,0.67,0.47,0.6,0.35,0.42,0.57,0.66,0.62,0.39,0.37,0.32,0.6,0.63,0.62,0.65,0.48,0.29
P39,0.55,0.5,0.83,0.54,0.82,0.57,0.82,0.76,0.62,0.65,0.67,0.73,0.79,0.52,0.7,0.47,0.51,0.49,0.99,0.8,0.59,0.6,0.65,0.57,0.68,0.65,0.64,0.64
P40,0.71,0.59,0.5,0.52,0.69,0.52,0.84,0.64,0.44,0.52,0.67,0.68,0.62,0.54,0.5,0.45,0.51,0.56,0.72,0.45,0.43,0.6,0.53,0.67,0.65,0.57,0.69,0.7
P41,0.61,0.5,0.71,0.49,0.67,0.45,0.6,0.59,0.49,0.38,0.65,0.61,0.72,0.64,0.52,0.54,0.39,0.73,0.59,0.46,0.44,0.41,0.47,0.58,0.64,0.56,0.52,0.48
P42,0.58,0.61,0.6,0.51,0.69,0.48,0.67,0.66,0.52,0.5,0.64,0.73,0.66,0.76,0.28,0.46,0.45,0.5,0.65,0.49,0.31,0.66,0.65,0.61,0.71,0.68,0.64,0.44
P43,0.5,0.43,0.58,0.42,0.56,0.48,0.63,0.54,0.37,0.39,0.68,0.57,0.62,0.67,0.37,0.5,0.39,0.58,0.49,0.42,0.35,0.47,0.57,0.54,0.42,0.56,0.56,0.39
P44,0.64,0.62,0.69,0.79,0.62,0.63,0.9,0.64,0.64,0.33,0.77,0.83,0.72,0.78,0.73,0.59,0.67,0.92,0.81,0.66,0.68,0.78,0.61,0.77,0.76,0.85,0.67,0.75
P45,0.39,0.41,0.54,0.51,0.56,0.41,0.67,0.69,0.55,0.57,0.68,0.7,0.52,0.61,0.42,0.43,0.38,0.47,0.6,0.5,0.49,0.32,0.63,0.67,0.79,0.78,0.55,0.5
P46,0.6,0.47,0.83,0.54,0.72,0.51,0.55,0.66,0.52,0.51,0.81,0.63,0.73,0.8,0.46,0.59,0.57,0.76,0.58,0.54,0.55,0.51,0.49,0.92,0.66,0.84,0.75,0.6
P47,0.58,0.53,0.61,0.44,0.66,0.26,0.82,0.59,0.31,0.46,0.7,0.59,0.66,0.61,0.5,0.66,0.52,0.71,0.57,0.56,0.4,0.47,0.65,0.66,0.46,0.53,0.47,0.56
P48,0.54,0.4,0.52,0.55,0.77,0.61,0.66,0.65,0.71,0.39,0.66,0.71,0.5,0.6,0.39,0.65,0.59,0.75,0.48,0.61,0.61,0.54,0.6,0.73,0.73,0.88,0.66,0.57
P49,0.39,0.42,0.54,0.51,0.4,0.28,0.65,0.57,0.42,0.34,0.52,0.59,0.4,0.56,0.21,0.45,0.49,0.61,0.55,0.46,0.3,0.38,0.51,0.56,0.53,0.47,0.46,0.38
P50,0.3,0.26,0.4,0.23,0.62,0.35,0.49,0.48,0.25,0.26,0.3,0.43,0.5,0.33,0.37,0.28,0.21,0.46,0.23,0.32,0.32,0.26,0.37,0.4,0.34,0.36,0.39,0.27
P51,0.53,0.68,0.57,0.51,0.55,0.46,0.81,0.74,0.47,0.35,0.7,0.55,0.57,0.58,0.39,0.4,0.48,0.66,0.47,0.55,0.48,0.45,0.48,0.64,0.49,0.87,0.6,0.4
P52,0.5,0.45,0.54,0.28,0.48,0.42,0.62,0.6,0.51,0.44,0.36,0.68,0.61,0.57,0.45,0.38,0.36,0.47,0.54,0.51,0.47,0.44,0.46,0.34,0.66,0.64,0.61,0.29
P53,0.53,0.54,0.46,0.27,0.63,0.35,0.52,0.51,0.49,0.27,0.49,0.56,0.87,0.59,0.6,0.58,0.45,0.63,0.48,0.45,0.37,0.51,0.56,0.6,0.54,0.68,0.53,0.46
P54,0.54,0.43,0.7,0.44,0.45,0.48,0.64,0.62,0.47,0.4,0.61,0.68,0.64,0.85,0.43,0.43,0.32,0.64,0.58,0.66,0.28,0.53,0.36,0.62,0.61,0.56,0.52,0.34
P55,0.45,0.5,0.42,0.36,0.59,0.35,0.4,0.55,0.4,0.23,0.46,0.55,0.5,0.56,0.4,0.43,0.25,0.49,0.56,0.56,0.46,0.29,0.46,0.46,0.49,0.72,0.4,0.3
P56,0.6,0.59,0.49,0.47,0.65,0.53,0.74,0.72,0.24,0.42,0.67,0.63,0.7,0.64,0.3,0.54,0.49,0.47,0.53,0.57,0.56,0.62,0.37,0.57,0.48,0.52,0.55,0.41
P57,0.38,0.36,0.36,0.33,0.45,0.41,0.56,0.43,0.28,0.18,0.42,0.49,0.41,0.35,0.16,0.17,0.05,0.46,0.47,0.26,0.16,0.17,0.28,0.47,0.38,0.51,0.26,0.24
P58,0.21,0.47,0.36,0.1,0.4,0.25,0.58,0.35,0.38,0.27,0.3,0.52,0.45,0.34,0.39,0.32,0.38,0.49,0.57,0.17,0.23,0.28,0.45,0.34,0.34,0.55,0.27,0.21
P59,0.16,0.18,0.5,0.27,0.25,0.24,0.62,0.32,0.15,0.19,0.39,0.43,0.38,0.4,0.19,0.31,0.25,0.53,0.3,0.14,0.43,0.31,0.29,0.46,0.42,0.53,0.46,0.26
P60,0.34,0.39,0.33,0.4,0.62,0.38,0.44,0.48,0.35,0.3,0.44,0.59,0.51,0.42,0.18,0.51,0.19,0.51,0.54,0.33,0.43,0.31,0.29,0.58,0.45,0.62,0.38,0.34
P61,0.44,0.29,0.45,0.34,0.49,0.29,0.7,0.45,0.42,0.29,0.59,0.5,0.37,0.36,0.52,0.38,0.34,0.38,0.49,0.5,0.25,0.35,0.38,0.44,0.52,0.48,0.44,0.37
P62,0.44,0.21,0.4,0.37,0.23,0.41,0.47,0.5,0.29,0.34,0.45,0.36,0.44,0.47,0.38,0.53,0.25,0.65,0.41,0.32,0.15,0.37,0.43,0.36,0.29,0.52,0.33,0.33
P63,0.45,0.46,0.44,0.46,0.73,0.38,0.76,0.48,0.44,0.47,0.61,0.58,0.57,0.57,0.44,0.6,0.34,0.64,0.59,0.4,0.35,0.44,0.47,0.52,0.32,0.52,0.83,0.51
