Province,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28
P21,0.63,0.73,0.69,0.51,0.72,0.45,0.85,0.84,0.71,0.46,0.84,0.75,0.74,0.75,0.61,0.84,0.44,0.77,0.64,0.78,0.6,0.55,0.55,0.84,0.6,0.77,0.81,0.57
P22,0.47,0.65,0.67,0.51,0.57,0.58,0.78,0.64,0.49,0.42,0.73,0.68,0.55,0.6,0.32,0.56,0.44,0.64,0.65,0.73,0.43,0.53,0.6,0.66,0.65,0.94,0.57,0.45
P23,0.64,0.51,0.65,0.44,0.6,0.42,0.85,0.61,0.48,0.52,0.7,0.77,0.7,0.57,0.37,0.56,0.63,0.76,0.71,0.65,0.54,0.69,0.72,0.69,0.64,0.87,0.65,0.62
P24,0.76,0.48,0.75,0.55,0.72,0.46,0.65,0.78,0.51,0.59,0.71,0.59,0.74,0.59,0.41,0.52,0.5,1.0,0.6,0.63,0.49,0.58,0.48,0.77,0.75,0.67,0.49,0.55
P25,0.57,0.59,0.55,0.61,0.75,0.46,0.82,0.78,0.53,0.61,0.62,0.81,0.61,0.77,0.53,0.52,0.57,0.76,0.58,0.75,0.58,0.68,0.56,0.64,0.73,0.75,0.57,0.63
P26,0.75,0.61,0.7,0.6,0.75,0.61,0.83,0.52,0.62,0.52,0.72,0.78,0.61,0.88,0.62,0.73,0.66,0.7,0.72,0.41,0.62,0.76,0.75,1.0,0.83,0.97,0.82,0.47
P27,0.71,0.61,0.71,0.62,0.67,0.47,0.66,0.82,0.6,0.42,0.64,0.76,0.64,0.74,0.47,0.56,0.45,0.69,0.74,0.6,0.43,0.62,0.6,0.61,0.56,0.66,0.57,0.54
P28,0.59,0.66,0.56,0.79,0.81,0.45,0.79,0.74,0.62,0.71,0.72,0.82,0.75,0.78,0.53,0.69,0.49,0.79,0.77,0.57,0.49,0.56,0.62,0.67,0.68,0.73,0.79,0.53
P29,0.74,0.8,0.6,0.63,0.73,0.56,0.69,0.75,0.7,0.53,0.76,0.86,0.79,0.74,0.58,0.75,0.58,0.84,0.69,0.58,0.56,0.67,0.67,0.83,0.76,0.86,0.7,0.68
P30,0.44,0.62,0.58,0.39,0.59,0.4,0.79,0.52,0.51,0.52,0.65,0.69,0.6,0.65,0.44,0.57,0.57,0.47,0.54,0.6,0.59,0.51,0.57,0.68,0.6,0.67,0.76,0.53
P31,0.74,0.61,0.66,0.63,0.67,0.5,0.88,0.83,0.55,0.63,0.72,0.88,0.82,0.7,0.64,0.63,0.61,0.78,0.72,0.7,0.62,0.54,0.87,0.81,0.66,0.79,0.59,0.69
P32,0.44,0.49,0.57,0.62,0.54,0.46,0.72,0.58,0.36,0.31,0.68,0.71,0.66,0.67,0.57,0.49,0.42,0.76,0.54,0.59,0.52,0.5,0.52,0.67,0.74,0.82,0.52,0.52
P33,0.39,0.53,0.63,0.53,0.66,0.51,0.65,0.56,0.54,0.35,0.56,0.74,0.71,0.66,0.41,0.41,0.55,0.55,0.63,0.63,0.51,0.58,0.46,0.57,0.68,0.79,0.53,0.51
P34,0.65,0.87,0.78,0.66,0.7,0.56,1.0,0.81,0.73,0.67,0.91,0.75,0.8,0.73,0.73,0.72,0.58,0.86,0.78,0.8,0.71,0.75,0.59,0.96,0.81,0.85,0.68,0.63
P35,0.77,0.76,0.77,0.69,0.71,0.68,0.82,0.81,0.66,0.67,0.89,0.63,0.88,0.87,0.69,0.75,0.7,0.93,0.6,0.58,0.64,0.57,0.69,0.9,0.81,0.91,0.73,0.69
P36,0.71,0.62,0.7,0.68,0.81,0.54,0.82,0.93,0.55,0.67,1.0,0.85,0.8,0.84,0.6,0.68,0.62,0.98,0.73,0.67,0.7,0.55,0.56,0.74,0.82,0.89,0.66,0.61
P37,0.69,0.6,0.57,0.47,0.7,0.38,0.8,0.74,0.51,0.43,0.75,0.58,0.72,0.75,0.62,0.74,0.5,0.74,0.47,0.63,0.48,0.59,0.64,0.76,0.59,0.68,0.61,0.54
P38,0.55,0.65,0.52,0.4,0.64,0.37,0.74,0.63,0.57,0.4,0.78,0.73,0.72,0.6,0.43,0.56,0.47,0.72,0.64,0.65,0.48,0.43,0.57,0.61,0.82,0.49,0.58,0.55
P39,0.59,0.61,0.72,0.76,0.67,0.55,0.89,0.76,0.45,0.54,0.79,0.78,0.77,0.89,0.5,0.64,0.6,0.83,0.7,0.72,0.61,0.66,0.62,0.74,0.7,0.9,0.76,0.62
P40,0.64,0.61,0.96,0.47,0.73,0.47,0.85,0.8,0.71,0.42,0.85,0.49,0.75,0.7,0.49,0.53,0.56,0.64,0.55,0.68,0.43,0.63,0.56,0.69,0.77,0.76,0.53,0.51
P41,0.61,0.78,0.52,0.35,0.65,0.59,0.79,0.73,0.63,0.46,0.69,0.7,0.57,0.58,0.45,0.51,0.52,0.8,0.68,0.46,0.45,0.49,0.44,0.6,0.69,0.66,0.69,0.52
P42,0.67,0.63,0.56,0.44,0.74,0.5,0.7,0.89,0.5,0.45,0.71,0.69,0.78,0.85,0.65,0.7,0.65,0.71,0.63,0.51,0.57,0.54,0.66,0.74,0.61,0.69,0.67,0.71
P43,0.58,0.45,0.66,0.41,0.61,0.54,0.74,0.62,0.56,0.39,0.68,0.65,0.51,0.57,0.65,0.48,0.62,0.57,0.5,0.56,0.5,0.58,0.56,0.72,0.56,0.64,0.62,0.54
P44,0.78,0.61,0.82,0.63,0.88,0.65,0.9,0.72,0.68,0.67,0.87,0.77,0.88,0.84,0.73,0.71,0.65,0.81,0.81,0.67,0.76,0.58,0.75,0.85,0.79,0.76,0.87,0.69
P45,0.59,0.54,0.69,0.49,0.78,0.6,0.63,0.7,0.56,0.5,0.76,0.58,0.54,0.64,0.52,0.44,0.59,0.77,0.72,0.56,0.54,0.55,0.45,0.74,0.62,0.7,0.48,0.61
P46,0.76,0.65,0.77,0.61,0.68,0.63,0.87,0.82,0.47,0.69,0.82,0.82,0.84,0.65,0.45,0.69,0.61,0.78,0.8,0.62,0.5,0.81,0.65,0.78,0.82,0.62,0.64,0.66
P47,0.49,0.6,0.7,0.57,0.76,0.45,0.87,0.78,0.61,0.47,0.76,0.69,0.73,0.62,0.47,0.6,0.51,0.67,0.62,0.51,0.59,0.68,0.6,0.54,0.67,0.75,0.58,0.49
P48,0.86,0.65,0.73,0.55,0.83,0.58,0.84,0.7,0.5,0.46,0.72,0.74,0.73,0.84,0.71,0.68,0.6,0.74,0.75,0.52,0.64,0.62,0.63,0.93,0.68,0.98,0.6,0.7
P49,0.47,0.4,0.47,0.45,0.76,0.37,0.52,0.6,0.3,0.2,0.81,0.47,0.83,0.58,0.47,0.38,0.3,0.68,0.67,0.37,0.29,0.4,0.46,0.66,0.53,0.56,0.53,0.42
P50,0.37,0.27,0.48,0.43,0.5,0.37,0.47,0.54,0.42,0.28,0.53,0.54,0.53,0.44,0.16,0.3,0.25,0.51,0.39,0.42,0.38,0.32,0.34,0.5,0.49,0.39,0.44,0.49
P51,0.61,0.66,0.64,0.69,0.81,0.54,0.76,0.68,0.57,0.55,0.69,0.61,0.8,0.66,0.33,0.56,0.42,0.59,0.63,0.56,0.38,0.53,0.62,0.59,0.7,0.74,0.67,0.55
P52,0.58,0.46,0.65,0.6,0.7,0.49,0.61,0.62,0.46,0.4,0.74,0.73,0.58,0.55,0.52,0.52,0.48,0.7,0.67,0.4,0.43,0.57,0.74,0.68,0.54,0.66,0.59,0.56
P53,0.78,0.76,0.71,0.67,0.59,0.47,0.78,0.89,0.58,0.45,0.66,0.53,0.7,0.67,0.61,0.56,0.36,0.77,0.65,0.52,0.42,0.57,0.46,0.67,0.71,0.63,0.46,0.54
P54,0.55,0.44,0.61,0.5,0.63,0.58,0.72,0.7,0.64,0.62,0.55,0.67,0.62,0.59,0.41,0.56,0.4,0.74,0.62,0.6,0.56,0.58,0.6,0.67,0.65,0.88,0.59,0.49
P55,0.48,0.5,0.58,0.3,0.68,0.51,0.72,0.43,0.36,0.46,0.54,0.62,0.59,0.66,0.46,0.51,0.29,0.83,0.57,0.24,0.51,0.47,0.53,0.66,0.58,0.53,0.5,0.33
P56,0.48,0.66,0.65,0.5,0.61,0.5,0.7,0.5,0.55,0.45,0.59,0.62,0.7,0.67,0.57,0.53,0.5,0.7,0.72,0.69,0.43,0.53,0.53,0.69,0.58,0.67,0.61,0.37
P57,0.67,0.52,0.47,0.22,0.36,0.38,0.54,0.44,0.37,0.26,0.5,0.48,0.5,0.44,0.47,0.5,0.32,0.4,0.34,0.35,0.26,0.34,0.34,0.57,0.49,0.46,0.46,0.16
P58,0.39,0.51,0.36,0.32,0.49,0.34,0.49,0.78,0.32,0.31,0.57,0.36,0.35,0.36,0.24,0.26,0.3,0.51,0.49,0.41,0.28,0.26,0.37,0.45,0.31,0.63,0.32,0.27
P59,0.2,0.13,0.42,0.19,0.73,0.33,0.67,0.48,0.31,0.2,0.36,0.65,0.41,0.44,0.3,0.37,0.29,0.38,0.44,0.29,0.31,0.28,0.48,0.32,0.39,0.45,0.41,0.33
P60,0.43,0.41,0.52,0.43,0.49,0.4,0.57,0.61,0.36,0.23,0.58,0.58,0.53,0.58,0.45,0.49,0.36,0.61,0.36,0.44,0.21,0.36,0.47,0.51,0.4,0.56,0.47,0.29
P61,0.44,0.36,0.3,0.32,0.39,0.33,0.49,0.59,0.41,0.34,0.59,0.48,0.52,0.45,0.43,0.37,0.37,0.58,0.5,0.47,0.31,0.61,0.24,0.5,0.54,0.55,0.35,0.4
P62,0.48,0.29,0.39,0.34,0.46,0.49,0.65,0.46,0.36,0.27,0.64,0.39,0.55,0.66,0.52,0.43,0.35,0.58,0.32,0.33,0.23,0.32,0.42,0.54,0.49,0.56,0.52,0.32
P63,0.57,0.43,0.6,0.32,0.65,0.49,0.67,0.71,0.55,0.6,0.74,0.66,0.74,0.64,0.34,0.49,0.41,0.83,0.74,0.6,0.39,0.5,0.48,0.57,0.61,0.71,0.58,0.44
