Province,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28
P13,0.81,0.64,0.89,0.72,0.98,0.67,0.94,0.83,0.78,0.78,0.97,0.91,0.94,0.84,0.84,0.71,0.67,0.86,0.86,0.84,0.68,0.7,0.78,0.83,0.78,1.0,0.74,0.66
P14,0.58,0.73,0.62,0.78,0.72,0.51,0.8,0.86,0.83,0.67,0.89,0.72,0.84,0.93,0.63,0.53,0.48,0.96,0.74,0.71,0.6,0.55,0.57,0.95,0.83,0.92,0.69,0.57
P15,0.8,0.73,0.76,0.7,0.8,0.48,0.73,0.75,0.74,0.51,0.89,0.92,0.62,0.82,0.57,0.72,0.65,0.72,0.91,0.88,0.58,0.68,0.68,0.92,0.88,0.88,0.67,0.65
P16,0.9,0.47,0.76,0.66,0.82,0.76,1.0,0.61,0.63,0.69,0.89,0.91,0.79,0.88,0.67,0.67,0.61,0.7,0.88,0.55,0.64,0.68,0.62,0.75,0.78,0.88,0.77,0.8
P17,0.42,0.6,0.55,0.64,0.6,0.41,0.76,0.68,0.59,0.55,0.71,0.68,0.64,0.61,0.31,0.38,0.62,0.5,0.74,0.45,0.41,0.56,0.59,0.74,0.68,0.67,0.51,0.47
P18,0.62,0.68,0.42,0.47,0.79,0.57,0.87,0.69,0.62,0.56,0.68,0.67,0.55,0.73,0.5,0.69,0.63,0.72,0.69,0.67,0.56,0.46,0.6,0.72,0.72,0.7,0.64,0.53
P19,0.55,0.55,0.48,0.43,0.75,0.57,0.82,0.64,0.67,0.34,0.7,0.6,0.57,0.71,0.53,0.53,0.41,0.78,0.62,0.65,0.59,0.52,0.51,0.67,0.77,0.54,0.54,0.48
P20,0.55,0.53,0.54,0.51,0.63,0.24,0.74,0.8,0.59,0.4,0.61,0.6,0.57,0.63,0.19,0.6,0.54,0.62,0.45,0.59,0.58,0.6,0.49,0.58,0.67,0.67,0.4,0.54
P21,0.57,0.62,0.66,0.67,0.79,0.42,0.84,0.58,0.6,0.65,0.66,0.79,0.75,0.68,0.46,0.62,0.59,0.68,0.75,0.43,0.47,0.83,0.73,0.7,0.69,0.8,0.68,0.6
P22,0.53,0.6,0.58,0.54,0.64,0.52,0.6,0.62,0.45,0.34,0.61,0.51,0.71,0.58,0.55,0.43,0.49,0.53,0.71,0.56,0.52,0.42,0.61,0.54,0.56,0.77,0.49,0.41
P23,0.51,0.45,0.54,0.42,0.62,0.5,0.75,0.63,0.54,0.44,0.65,0.54,0.68,0.51,0.55,0.48,0.7,0.68,0.67,0.56,0.39,0.49,0.55,0.62,0.56,0.78,0.7,0.44
P24,0.62,0.55,0.55,0.55,0.73,0.66,0.79,0.62,0.45,0.4,0.71,0.64,0.66,0.78,0.57,0.44,0.49,0.61,0.6,0.58,0.43,0.41,0.66,0.58,0.63,0.76,0.59,0.53
P25,0.69,0.63,0.67,0.47,0.7,0.46,0.77,0.58,0.59,0.6,0.8,0.68,0.73,0.75,0.48,0.65,0.58,0.87,0.46,0.63,0.36,0.71,0.55,0.57,0.72,0.76,0.48,0.7
P26,0.56,0.64,0.62,0.54,0.62,0.68,0.84,0.76,0.44,0.54,0.83,0.74,0.54,0.81,0.5,0.72,0.66,0.69,0.72,0.63,0.52,0.59,0.44,0.84,0.82,0.72,0.75,0.57
P27,0.56,0.47,0.55,0.54,0.7,0.45,0.69,0.69,0.43,0.46,0.67,0.43,0.71,0.65,0.39,0.62,0.5,0.61,0.54,0.54,0.47,0.48,0.59,0.61,0.54,0.62,0.54,0.5
P28,0.62,0.54,0.55,0.68,0.7,0.46,0.62,0.64,0.6,0.56,0.8,0.52,0.67,0.7,0.67,0.54,0.66,0.78,0.7,0.48,0.64,0.74,0.53,0.71,0.62,0.67,0.67,0.59
P29,0.45,0.6,0.66,0.51,0.84,0.51,0.71,0.75,0.59,0.57,0.72,0.65,0.78,0.78,0.56,0.54,0.56,0.81,0.72,0.69,0.48,0.46,0.49,0.66,0.77,0.66,0.66,0.55
P30,0.45,0.5,0.53,0.5,0.68,0.44,0.63,0.61,0.63,0.53,0.66,0.67,0.64,0.61,0.43,0.5,0.51,0.67,0.61,0.47,0.4,0.47,0.44,0.57,0.7,0.62,0.53,0.62
P31,0.53,0.7,0.54,0.63,0.74,0.51,0.81,0.84,0.54,0.57,0.7,0.62,0.64,0.79,0.64,0.67,0.5,0.71,0.75,0.65,0.57,0.66,0.57,0.63,0.53,0.82,0.61,0.52
P32,0.56,0.55,0.47,0.41,0.61,0.37,0.66,0.66,0.32,0.35,0.64,0.8,0.63,0.67,0.41,0.45,0.37,0.58,0.54,0.45,0.42,0.65,0.6,0.75,0.59,0.64,0.72,0.38
P33,0.56,0.52,0.68,0.33,0.62,0.37,0.7,0.65,0.45,0.5,0.6,0.59,0.54,0.71,0.4,0.42,0.48,0.61,0.61,0.48,0.51,0.36,0.54,0.43,0.62,0.57,0.45,0.51
P34,0.67,0.53,0.71,0.66,0.73,0.83,0.85,0.68,0.74,0.66,0.67,0.57,0.8,0.77,0.73,0.73,0.54,0.6,0.66,0.68,0.51,0.82,0.64,0.84,0.79,0.8,0.68,0.55
P35,0.56,0.74,0.85,0.72,0.81,0.71,0.92,0.9,0.57,0.34,0.68,0.81,0.92,0.69,0.68,0.58,0.56,0.67,0.68,0.82,0.68,0.64,0.6,0.73,0.62,0.83,0.68,0.6
P36,0.64,0.6,0.61,0.5,0.89,0.34,0.75,0.63,0.59,0.68,0.79,0.74,0.78,0.7,0.51,0.67,0.75,0.75,0.7,0.79,0.51,0.61,0.83,0.67,0.72,0.74,0.53,0.61
P37,0.42,0.45,0.51,0.54,0.82,0.44,0.64,0.58,0.48,0.36,0.68,0.73,0.45,0.51,0.44,0.51,0.56,0.74,0.74,0.42,0.42,0.44,0.62,0.53,0.59,0.67,0.77,0.47
P38,0.48,0.66,0.65,0.52,0.72,0.37,0.6,0.48,0.4,0.46,0.49,0.73,0.53,0.55,0.32,0.54,0.46,0.64,0.44,0.5,0.49,0.5,0.46,0.61,0.43,0.86,0.55,0.6
P39,0.74,0.56,0.7,0.52,0.75,0.58,0.84,0.69,0.6,0.5,0.83,0.78,0.79,0.77,0.57,0.65,0.74,0.64,0.58,0.59,0.52,0.77,0.53,0.75,0.65,0.65,0.71,0.58
P40,0.58,0.67,0.63,0.6,0.58,0.82,0.66,0.66,0.46,0.45,0.57,0.6,0.6,0.64,0.58,0.54,0.53,0.63,0.6,0.5,0.47,0.57,0.49,0.59,0.72,0.55,0.48,0.51
P41,0.5,0.52,0.62,0.52,0.62,0.49,0.66,0.57,0.4,0.36,0.67,0.62,0.69,0.55,0.36,0.52,0.48,0.51,0.45,0.53,0.42,0.46,0.54,0.59,0.8,0.65,0.56,0.74
P42,0.57,0.7,0.75,0.63,0.78,0.53,0.73,0.91,0.57,0.55,0.66,0.7,0.6,0.83,0.57,0.69,0.61,0.7,0.88,0.59,0.61,0.73,0.69,0.79,0.71,0.75,0.62,0.52
P43,0.48,0.48,0.61,0.39,0.68,0.35,0.83,0.58,0.32,0.35,0.54,0.62,0.69,0.5,0.48,0.51,0.48,0.69,0.47,0.44,0.42,0.48,0.54,0.65,0.55,0.61,0.39,0.39
P44,0.69,0.71,0.78,0.56,0.77,0.62,0.79,0.77,0.53,0.63,0.79,0.66,0.75,0.7,0.61,0.72,0.52,0.95,0.76,0.69,0.5,0.8,0.61,0.71,0.96,0.73,0.62,0.57
P45,0.44,0.49,0.55,0.54,0.64,0.41,0.65,0.63,0.47,0.62,0.61,0.63,0.59,0.75,0.6,0.58,0.46,0.59,0.52,0.51,0.48,0.43,0.62,0.77,0.57,0.79,0.53,0.33
P46,0.61,0.68,0.56,0.59,0.77,0.61,0.83,0.76,0.56,0.51,0.63,0.65,0.86,0.7,0.49,0.71,0.5,0.78,0.75,0.61,0.59,0.65,0.58,0.85,0.8,0.76,0.66,0.6
P47,0.57,0.44,0.6,0.53,0.67,0.56,0.73,0.69,0.58,0.37,0.59,0.68,0.64,0.61,0.4,0.63,0.53,0.82,0.7,0.48,0.46,0.55,0.49,0.69,0.62,0.69,0.59,0.48
P48,0.65,0.57,0.57,0.66,0.7,0.56,0.7,0.65,0.6,0.59,0.68,0.59,0.56,0.55,0.48,0.66,0.42,0.85,0.65,0.7,0.6,0.57,0.6,0.74,0.61,0.79,0.5,0.44
P49,0.5,0.51,0.79,0.26,0.53,0.42,0.69,0.54,0.43,0.43,0.64,0.5,0.57,0.56,0.33,0.33,0.4,0.62,0.62,0.52,0.4,0.39,0.52,0.64,0.64,0.54,0.42,0.42
P50,0.37,0.33,0.39,0.48,0.56,0.3,0.39,0.45,0.4,0.24,0.32,0.37,0.44,0.36,0.23,0.37,0.33,0.52,0.5,0.3,0.18,0.36,0.33,0.48,0.46,0.44,0.37,0.35
P51,0.59,0.54,0.46,0.54,0.57,0.5,0.69,0.52,0.63,0.37,0.55,0.64,0.48,0.65,0.58,0.34,0.63,0.68,0.62,0.57,0.47,0.6,0.54,0.57,0.69,0.78,0.58,0.35
P52,0.41,0.38,0.68,0.33,0.58,0.43,0.62,0.57,0.42,0.38,0.58,0.62,0.55,0.65,0.37,0.6,0.41,0.71,0.53,0.57,0.38,0.47,0.4,0.5,0.53,0.48,0.32,0.41
P53,0.57,0.66,0.63,0.55,0.62,0.43,0.67,0.74,0.49,0.45,0.58,0.54,0.45,0.63,0.47,0.49,0.56,0.59,0.67,0.47,0.36,0.61,0.44,0.48,0.6,0.68,0.46,0.5
P54,0.59,0.43,0.62,0.33,0.64,0.42,0.62,0.66,0.26,0.37,0.66,0.57,0.61,0.66,0.33,0.67,0.38,0.67,0.71,0.51,0.53,0.36,0.37,0.67,0.63,0.66,0.62,0.49
P55,0.34,0.4,0.55,0.37,0.56,0.38,0.59,0.48,0.42,0.17,0.53,0.49,0.61,0.59,0.38,0.43,0.41,0.55,0.72,0.49,0.39,0.47,0.35,0.54,0.65,0.54,0.64,0.34
P56,0.66,0.43,0.55,0.47,0.63,0.48,0.69,0.61,0.46,0.47,0.52,0.66,0.56,0.82,0.5,0.52,0.57,0.59,0.73,0.44,0.42,0.52,0.44,0.54,0.59,0.64,0.62,0.34
P57,0.26,0.23,0.2,0.32,0.35,0.39,0.29,0.47,0.18,0.17,0.38,0.32,0.43,0.31,0.19,0.18,0.23,0.37,0.43,0.21,0.23,0.31,0.32,0.21,0.29,0.55,0.32,0.29
P58,0.43,0.31,0.43,0.34,0.46,0.32,0.46,0.44,0.38,0.26,0.47,0.34,0.39,0.43,0.18,0.44,0.28,0.59,0.31,0.29,0.19,0.23,0.39,0.31,0.35,0.4,0.4,0.19
P59,0.21,0.39,0.35,0.26,0.47,0.26,0.6,0.37,0.35,0.2,0.47,0.46,0.44,0.56,0.15,0.18,0.27,0.42,0.18,0.35,0.19,0.27,0.25,0.46,0.27,0.49,0.41,0.28
P60,0.29,0.28,0.51,0.21,0.5,0.19,0.71,0.54,0.21,0.42,0.39,0.48,0.27,0.49,0.28,0.37,0.07,0.51,0.35,0.29,0.37,0.4,0.24,0.39,0.32,0.5,0.28,0.19
P61,0.38,0.23,0.47,0.55,0.42,0.21,0.48,0.56,0.33,0.3,0.52,0.41,0.33,0.58,0.28,0.28,0.34,0.57,0.44,0.34,0.42,0.46,0.38,0.4,0.54,0.57,0.39,0.33
P62,0.28,0.38,0.2,0.33,0.48,0.35,0.64,0.37,0.39,0.34,0.45,0.41,0.39,0.56,0.12,0.29,0.31,0.37,0.38,0.35,0.25,0.29,0.46,0.4,0.43,0.52,0.46,0.35
P63,0.53,0.37,0.5,0.42,0.62,0.44,0.61,0.73,0.55,0.38,0.7,0.61,0.47,0.6,0.55,0.6,0.49,0.77,0.67,0.5,0.56,0.44,0.53,0.61,0.55,0.4,0.46,0.57
